Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
A2M	ENSG00000175899.14	71.629	509.627	-2.814	3.70e-16
AARD	ENSG00000205002.3	0.060	2.413	-1.687	2.20e-26
AASS	ENSG00000008311.14	1.690	4.970	-1.150	6.54e-9
AATBC	ENSG00000215458.8	5.215	1.447	1.345	3.79e-4
ABCA1	ENSG00000165029.15	3.840	10.184	-1.208	1.39e-4
ABCA3	ENSG00000167972.13	1.040	3.418	-1.115	6.76e-3
ABCA6	ENSG00000154262.12	0.945	8.843	-2.339	1.98e-6
ABCA8	ENSG00000141338.13	0.320	10.982	-3.182	1.57e-36
ABCA9	ENSG00000154258.16	0.230	3.813	-1.968	3.57e-21
ABCB1	ENSG00000085563.14	1.080	4.570	-1.421	2.69e-15
ABCC4	ENSG00000125257.13	3.585	14.185	-1.728	1.41e-7
ABCC9	ENSG00000069431.10	0.370	3.954	-1.854	5.57e-21
ABI3BP	ENSG00000154175.16	2.005	32.953	-3.498	1.97e-24
ABL1	ENSG00000097007.17	16.719	50.362	-1.535	1.44e-15
ABLIM1	ENSG00000099204.18	12.900	37.875	-1.484	2.95e-10
ABLIM3	ENSG00000173210.19	7.705	18.650	-1.175	1.61e-3
ABRACL	ENSG00000146386.7	78.814	34.966	1.150	1.39e-13
AC002398.12	ENSG00000267328.1	0.485	12.323	-3.165	3.63e-28
AC005062.2	ENSG00000243004.5	4.000	10.068	-1.146	3.70e-7
AC005255.3	ENSG00000256210.3	4.055	1.149	1.234	1.07e-4
AC005339.2	ENSG00000268565.1	8.990	2.650	1.453	2.16e-8
AC005786.7	ENSG00000267436.1	7.630	1.515	1.779	3.41e-5
AC006011.4	ENSG00000244563.1	14.660	5.992	1.163	1.48e-11
AC006116.27	ENSG00000267459.1	0.195	1.509	-1.070	1.97e-4
AC006262.5	ENSG00000268621.5	3.425	0.039	2.090	2.89e-4
AC006547.8	ENSG00000243762.1	1.920	0.000	1.546	2.15e-4
AC007009.1	ENSG00000244239.1	6.165	2.229	1.150	7.01e-3
AC010226.4	ENSG00000249249.1	0.530	2.524	-1.204	3.13e-19
AC011558.5	ENSG00000279753.1	114.027	35.878	1.641	1.40e-4
AC016735.2	ENSG00000231826.5	3.014	0.895	1.083	6.01e-3
AC021066.1	ENSG00000281415.1	294.709	34.486	3.059	3.29e-3
AC026150.8	ENSG00000260693.1	0.240	1.755	-1.152	6.48e-27
AC053503.12	ENSG00000280323.1	0.010	3.458	-2.142	9.33e-34
AC093627.10	ENSG00000240859.1	0.290	2.605	-1.483	7.11e-11
AC098614.2	ENSG00000213846.4	0.985	3.069	-1.036	1.47e-10
AC098973.2	ENSG00000225548.5	7.429	0.000	3.075	8.14e-4
AC104534.3	ENSG00000268083.5	8.890	0.221	3.018	2.41e-4
AC110615.1	ENSG00000279909.1	4.475	0.145	2.258	5.40e-5
AC145124.2	ENSG00000255495.1	0.540	3.349	-1.498	5.07e-23
AC156455.1	ENSG00000256546.1	0.705	3.255	-1.319	1.49e-7
AC239868.2	ENSG00000280874.1	35.690	0.000	5.197	9.74e-13
AC239868.3	ENSG00000281134.1	35.626	0.000	5.195	2.76e-12
ACACB	ENSG00000076555.15	1.510	23.227	-3.271	1.08e-32
ACADSB	ENSG00000196177.12	3.710	8.935	-1.077	7.06e-5
ACKR1	ENSG00000213088.9	3.635	53.288	-3.550	8.91e-17
ACKR3	ENSG00000144476.5	21.229	56.648	-1.375	2.84e-3
ACKR4	ENSG00000129048.6	0.640	3.400	-1.424	1.63e-5
ACOX2	ENSG00000168306.12	1.070	12.331	-2.687	4.58e-24
ACSS3	ENSG00000111058.7	0.510	3.160	-1.462	1.26e-4
ACTA2	ENSG00000107796.12	138.942	1908.005	-3.770	2.17e-16
ACTA2-AS1	ENSG00000180139.11	0.450	20.360	-3.881	1.73e-29
ACTC1	ENSG00000159251.6	0.425	228.136	-7.329	4.94e-19
ACTG2	ENSG00000163017.13	29.733	1316.919	-5.422	4.23e-18
ACTL6A	ENSG00000136518.16	54.660	23.955	1.157	9.25e-15
