Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
A1BG	ENSG00000121410.11	6.975	29.889	-1.954	9.78e-7
A1BG-AS1	ENSG00000268895.5	1.485	6.160	-1.527	3.52e-8
A2M	ENSG00000175899.14	40.105	212.437	-2.376	5.32e-9
A2M-AS1	ENSG00000245105.2	0.230	3.170	-1.761	6.32e-39
AADAT	ENSG00000109576.13	1.555	9.230	-2.001	2.31e-5
AASS	ENSG00000008311.14	1.555	26.829	-3.445	1.56e-16
AATK	ENSG00000181409.11	0.580	2.410	-1.110	1.87e-3
ABC12-49244600F4.4	ENSG00000276144.1	0.030	1.960	-1.523	4.73e-17
ABC7-42404400C24.1	ENSG00000277758.4	0.120	2.180	-1.506	8.79e-7
ABCA10	ENSG00000154263.17	0.515	7.180	-2.433	4.39e-24
ABCA11P	ENSG00000251595.7	1.480	4.310	-1.098	6.45e-7
ABCA17P	ENSG00000238098.8	4.355	0.420	1.915	7.17e-3
ABCA6	ENSG00000154262.12	0.350	14.290	-3.502	2.69e-49
ABCA7	ENSG00000064687.12	16.570	4.800	1.599	4.21e-3
ABCA8	ENSG00000141338.13	0.130	12.290	-3.556	3.11e-61
ABCA9	ENSG00000154258.16	0.110	7.150	-2.876	1.60e-69
ABCB1	ENSG00000085563.14	1.080	8.190	-2.143	9.58e-17
ABCC8	ENSG00000006071.11	0.020	6.100	-2.799	3.18e-33
ABCC9	ENSG00000069431.10	0.180	7.710	-2.884	1.76e-50
ABCD2	ENSG00000173208.3	0.095	1.280	-1.058	1.35e-30
ABCD4	ENSG00000119688.20	28.595	68.431	-1.230	2.54e-7
ABCG2	ENSG00000118777.10	0.400	12.540	-3.274	6.39e-48
ABHD14A	ENSG00000248487.8	10.855	27.179	-1.249	2.89e-4
ABHD17C	ENSG00000136379.11	36.051	3.080	3.183	1.42e-14
ABHD5	ENSG00000011198.7	15.495	6.480	1.141	1.30e-3
ABI3BP	ENSG00000154175.16	1.580	30.049	-3.589	2.26e-15
ABL1	ENSG00000097007.17	18.480	59.701	-1.640	1.87e-10
ABLIM3	ENSG00000173210.19	2.205	15.870	-2.396	2.36e-7
ABR	ENSG00000159842.14	22.736	65.839	-1.494	8.84e-7
ABRACL	ENSG00000146386.7	67.360	9.430	2.712	2.23e-21
ABTB1	ENSG00000114626.17	19.620	58.411	-1.527	1.64e-9
ABTB2	ENSG00000166016.5	2.065	5.740	-1.137	1.39e-6
AC000089.3	ENSG00000235776.2	2.665	0.670	1.134	8.75e-8
