Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
A1CF	ENSG00000148584.14	5.000	0.610	1.898	2.94e-12
A2M	ENSG00000175899.14	58.659	139.207	-1.233	1.56e-28
A2M-AS1	ENSG00000245105.2	0.220	1.840	-1.219	1.07e-56
A4GALT	ENSG00000128274.15	4.720	19.631	-1.851	8.07e-36
AASS	ENSG00000008311.14	1.090	9.550	-2.336	7.96e-69
AATK	ENSG00000181409.11	1.920	7.360	-1.518	1.59e-31
ABCA1	ENSG00000165029.15	2.290	8.540	-1.536	3.46e-53
ABCA10	ENSG00000154263.17	0.330	4.670	-2.092	1.92e-79
ABCA3	ENSG00000167972.13	1.250	6.030	-1.644	3.01e-22
ABCA5	ENSG00000154265.15	4.890	13.690	-1.319	9.45e-57
ABCA6	ENSG00000154262.12	0.260	8.490	-2.913	4.29e-104
ABCA8	ENSG00000141338.13	0.220	16.930	-3.877	1.18e-177
ABCA9	ENSG00000154258.16	0.100	6.550	-2.779	2.84e-98
ABCC3	ENSG00000108846.15	45.509	15.320	1.511	3.18e-8
ABCC5	ENSG00000114770.16	8.760	19.840	-1.094	6.93e-38
ABCC6	ENSG00000091262.14	6.060	2.480	1.021	8.72e-12
ABCC8	ENSG00000006071.11	0.210	2.210	-1.408	4.05e-78
ABCC9	ENSG00000069431.10	0.430	3.970	-1.797	2.68e-36
ABCE1	ENSG00000164163.10	33.700	13.150	1.294	4.20e-98
ABHD11	ENSG00000106077.18	85.709	19.340	2.092	6.26e-41
ABHD11-AS1	ENSG00000225969.1	12.250	1.840	2.222	9.25e-10
ABHD17C	ENSG00000136379.11	55.329	6.650	2.880	9.51e-40
ABHD2	ENSG00000140526.16	32.130	11.070	1.457	1.85e-57
ABHD8	ENSG00000127220.5	2.310	9.500	-1.666	2.94e-61
ABI3BP	ENSG00000154175.16	1.800	25.090	-3.220	2.33e-88
ABL1	ENSG00000097007.17	27.380	59.482	-1.092	5.33e-36
ABLIM2	ENSG00000163995.18	10.210	4.580	1.006	1.21e-44
ABLIM3	ENSG00000173210.19	1.680	7.850	-1.723	1.30e-42
ABO	ENSG00000175164.13	10.080	3.920	1.171	8.24e-3
ABRACL	ENSG00000146386.7	91.309	18.350	2.254	4.41e-47
ABTB1	ENSG00000114626.17	15.170	43.191	-1.450	5.53e-39
AC000089.3	ENSG00000235776.2	4.040	0.350	1.900	1.90e-139
AC002116.8	ENSG00000248101.2	0.310	2.150	-1.266	5.71e-46
AC002398.12	ENSG00000267328.1	0.290	11.340	-3.258	3.80e-47
AC003090.1	ENSG00000223561.6	0.110	1.220	-1.000	4.13e-50
AC003973.3	ENSG00000279377.1	0.060	1.670	-1.333	4.98e-56
AC005083.1	ENSG00000233834.6	4.040	0.290	1.966	9.48e-83
AC005104.3	ENSG00000223374.1	0.750	3.210	-1.266	2.03e-55
AC005154.6	ENSG00000196295.11	12.250	41.240	-1.673	1.55e-52
AC005154.7	ENSG00000244480.1	0.310	2.040	-1.215	2.48e-82
AC005255.3	ENSG00000256210.3	5.590	0.000	2.720	8.66e-101
AC005355.2	ENSG00000251169.2	5.650	0.700	1.968	3.64e-21
AC005519.4	ENSG00000258559.2	0.580	2.510	-1.152	5.30e-54
AC005682.5	ENSG00000228649.8	0.340	2.730	-1.477	5.07e-45
