Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
A1BG	ENSG00000121410.11	36.770	4.030	2.909	1.08e-41
A1BG-AS1	ENSG00000268895.5	5.990	1.200	1.668	4.44e-33
A2M	ENSG00000175899.14	67.381	0.580	5.436	1.52e-129
A4GALT	ENSG00000128274.15	11.410	0.180	3.395	1.28e-93
AAAS	ENSG00000094914.12	35.510	8.030	2.015	2.50e-29
AACS	ENSG00000081760.16	7.110	1.010	2.013	2.57e-53
AAED1	ENSG00000158122.11	4.500	0.630	1.755	6.46e-46
AAGAB	ENSG00000103591.12	22.800	3.960	2.262	6.28e-38
AAMDC	ENSG00000087884.14	19.100	2.190	2.656	2.94e-55
AAMP	ENSG00000127837.9	73.802	11.530	2.578	4.81e-40
AAR2	ENSG00000131043.11	18.050	3.240	2.168	2.04e-28
AARS	ENSG00000090861.15	46.090	3.550	3.371	1.22e-54
AARS2	ENSG00000124608.4	3.950	0.660	1.576	3.90e-35
AARSD1	ENSG00000266967.6	46.301	4.520	3.099	2.35e-56
AASDH	ENSG00000157426.13	2.790	0.650	1.200	6.19e-31
AASDHPPT	ENSG00000149313.10	12.170	1.970	2.149	3.11e-35
AATF	ENSG00000275700.4	76.771	12.370	2.540	2.13e-47
AATK	ENSG00000181409.11	0.360	14.600	-3.520	1.03e-39
AB019441.29	ENSG00000225200.2	1.740	0.180	1.215	3.51e-68
ABCA11P	ENSG00000251595.7	1.430	0.150	1.079	2.67e-49
ABCA2	ENSG00000107331.16	10.020	29.260	-1.457	1.12e-10
ABCA6	ENSG00000154262.12	4.380	0.070	2.330	1.86e-91
ABCB10	ENSG00000135776.4	4.370	0.940	1.469	5.04e-18
ABCB4	ENSG00000005471.15	3.200	0.170	1.844	1.63e-60
ABCB6	ENSG00000115657.12	9.630	3.000	1.410	1.04e-17
ABCB7	ENSG00000131269.15	12.490	1.980	2.179	6.96e-40
ABCB8	ENSG00000197150.12	17.881	4.000	1.917	2.75e-31
ABCC1	ENSG00000103222.18	9.780	2.180	1.761	8.86e-25
ABCC10	ENSG00000124574.14	10.620	3.830	1.266	1.28e-14
ABCD3	ENSG00000117528.11	7.470	1.120	1.998	2.73e-29
ABCD4	ENSG00000119688.20	27.249	6.210	1.970	3.16e-26
ABCE1	ENSG00000164163.10	19.340	1.200	3.209	3.14e-53
ABCF1	ENSG00000204574.12	45.050	5.140	2.907	1.03e-47
ABCF2	ENSG00000033050.7	24.939	3.680	2.471	3.07e-40
