Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
A2ML1	ENSG00000166535.19	6.499	490.173	-6.033	7.73e-42
AADACP1	ENSG00000240602.7	2.265	0.080	1.596	5.00e-40
AAED1	ENSG00000158122.11	7.210	2.675	1.160	1.45e-36
AAK1	ENSG00000115977.18	28.390	6.305	2.008	9.10e-99
AARS	ENSG00000090861.15	54.852	26.306	1.032	1.08e-33
AASS	ENSG00000008311.14	2.730	7.855	-1.247	1.46e-30
AATBC	ENSG00000215458.8	0.810	2.995	-1.142	5.22e-19
AATF	ENSG00000275700.4	43.696	20.315	1.068	1.17e-59
ABCA10	ENSG00000154263.17	0.750	4.135	-1.553	3.95e-38
ABCA5	ENSG00000154265.15	8.360	20.450	-1.196	5.00e-36
ABCA6	ENSG00000154262.12	0.755	5.095	-1.796	9.61e-47
ABCA8	ENSG00000141338.13	0.555	6.835	-2.333	2.00e-57
ABCA9	ENSG00000154258.16	0.315	3.250	-1.692	9.31e-47
ABCC4	ENSG00000125257.13	5.545	1.370	1.465	4.35e-51
ABCD1	ENSG00000101986.11	13.225	2.910	1.863	2.17e-82
ABCE1	ENSG00000164163.10	42.235	20.594	1.002	6.42e-41
ABCG1	ENSG00000160179.18	9.690	3.150	1.365	8.31e-33
ABHD10	ENSG00000144827.8	14.585	6.530	1.049	6.08e-49
ABHD11	ENSG00000106077.18	41.625	18.950	1.095	3.04e-23
ABHD2	ENSG00000140526.16	42.805	8.265	2.241	1.70e-47
ABI2	ENSG00000138443.15	20.584	6.480	1.529	8.50e-57
ABL2	ENSG00000143322.19	8.285	1.705	1.779	5.08e-80
ABLIM1	ENSG00000099204.18	55.579	127.862	-1.187	3.40e-18
ABLIM3	ENSG00000173210.19	5.615	29.481	-2.204	1.56e-33
ABO	ENSG00000175164.13	5.970	13.365	-1.043	4.90e-9
ABTB2	ENSG00000166016.5	6.040	2.250	1.115	8.10e-15
AC002398.12	ENSG00000267328.1	0.000	1.470	-1.305	1.18e-25
AC002398.9	ENSG00000188223.9	8.050	3.290	1.077	2.22e-51
AC002511.2	ENSG00000233214.1	0.120	1.720	-1.280	1.18e-31
AC003090.1	ENSG00000223561.6	0.150	1.335	-1.022	2.08e-26
AC004951.5	ENSG00000239556.2	0.165	9.545	-3.178	5.35e-59
AC004951.6	ENSG00000228434.1	3.060	0.905	1.092	2.40e-56
AC005262.3	ENSG00000267139.1	0.000	1.335	-1.223	9.89e-16
AC005339.2	ENSG00000268565.1	0.000	1.835	-1.503	1.36e-7
AC005532.5	ENSG00000230825.1	0.280	15.639	-3.700	1.50e-43
AC005538.3	ENSG00000279809.1	2.750	0.450	1.371	3.80e-38
AC005943.2	ENSG00000267059.2	11.815	0.245	3.364	4.76e-51
AC005943.6	ENSG00000279009.1	2.378	0.000	1.756	8.53e-7
AC005944.2	ENSG00000267469.1	15.750	4.255	1.672	1.10e-15
AC006011.4	ENSG00000244563.1	23.225	5.825	1.828	1.24e-82
AC006449.2	ENSG00000279119.1	0.000	20.515	-4.427	1.60e-111
AC007405.6	ENSG00000239467.5	2.085	0.410	1.130	2.24e-24
