Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
A1BG	ENSG00000121410.11	29.660	12.630	1.170	1.37e-10
A2M	ENSG00000175899.14	278.300	32.070	3.078	5.66e-80
AACS	ENSG00000081760.16	9.860	27.210	-1.377	2.04e-28
AAED1	ENSG00000158122.11	9.780	2.070	1.812	1.30e-92
AAK1	ENSG00000115977.18	6.200	17.421	-1.355	4.73e-32
AAMDC	ENSG00000087884.14	41.160	12.580	1.634	6.46e-69
AAR2	ENSG00000131043.11	28.889	8.130	1.711	3.22e-84
AASS	ENSG00000008311.14	10.140	3.980	1.162	2.32e-19
AATF	ENSG00000275700.4	35.309	13.440	1.330	4.08e-33
AATK	ENSG00000181409.11	5.770	62.599	-3.232	6.32e-62
AB019441.29	ENSG00000225200.2	1.750	0.280	1.103	4.56e-67
ABC7-42404400C24.1	ENSG00000277758.4	0.290	2.800	-1.559	3.57e-50
ABCA1	ENSG00000165029.15	13.850	1.250	2.722	3.22e-80
ABCA10	ENSG00000154263.17	0.310	2.440	-1.393	1.09e-40
ABCA2	ENSG00000107331.16	63.241	164.677	-1.367	5.18e-25
ABCA5	ENSG00000154265.15	4.140	12.290	-1.370	4.17e-24
ABCA7	ENSG00000064687.12	3.500	14.420	-1.777	4.23e-38
ABCA9	ENSG00000154258.16	0.370	2.700	-1.433	6.84e-40
ABCB4	ENSG00000005471.15	1.970	0.320	1.170	1.65e-49
ABCB7	ENSG00000131269.15	15.370	4.180	1.660	1.15e-81
ABCC1	ENSG00000103222.18	6.310	2.420	1.096	6.21e-23
ABCC12	ENSG00000140798.15	0.040	2.630	-1.803	9.71e-53
ABCC3	ENSG00000108846.15	16.840	0.910	3.223	1.14e-61
ABCC4	ENSG00000125257.13	4.560	0.670	1.735	1.37e-79
ABCC5	ENSG00000114770.16	14.590	34.849	-1.201	4.98e-22
ABCC8	ENSG00000006071.11	3.660	54.799	-3.582	5.41e-73
ABCD1	ENSG00000101986.11	8.420	1.820	1.740	1.24e-69
ABCD3	ENSG00000117528.11	34.709	9.720	1.736	2.33e-85
ABCE1	ENSG00000164163.10	27.899	10.020	1.391	2.18e-52
ABCF1	ENSG00000204574.12	37.629	16.800	1.118	4.30e-23
ABCG1	ENSG00000160179.18	11.890	4.530	1.221	1.86e-29
ABCG4	ENSG00000172350.9	0.490	9.220	-2.778	1.14e-72
ABHD12B	ENSG00000131969.14	0.930	7.250	-2.096	9.74e-71
ABHD14B	ENSG00000114779.19	27.350	11.030	1.237	8.14e-45
ABHD15	ENSG00000168792.4	5.510	1.440	1.416	2.69e-68
ABHD3	ENSG00000158201.9	14.690	5.410	1.291	3.80e-39
ABHD4	ENSG00000100439.10	38.869	7.260	2.271	8.19e-71
ABHD5	ENSG00000011198.7	16.970	3.690	1.938	4.04e-95
ABHD8	ENSG00000127220.5	19.680	75.750	-1.892	9.54e-39
ABI3	ENSG00000108798.8	18.070	1.190	3.122	1.90e-93
ABI3BP	ENSG00000154175.16	4.930	1.120	1.484	6.26e-25
ABL1	ENSG00000097007.17	31.831	12.660	1.265	2.36e-23
ABLIM2	ENSG00000163995.18	5.430	53.820	-3.092	3.61e-66
ABR	ENSG00000159842.14	58.201	156.053	-1.408	8.96e-32
ABT1	ENSG00000146109.4	11.740	4.830	1.128	3.21e-63
ABTB1	ENSG00000114626.17	15.080	62.189	-1.974	3.89e-48
AC000041.10	ENSG00000274457.1	0.000	17.730	-4.227	1.52e-35
AC000095.11	ENSG00000273164.1	0.190	6.110	-2.579	2.14e-65
AC002398.12	ENSG00000267328.1	5.450	0.780	1.857	2.75e-37
AC002398.9	ENSG00000188223.9	11.000	4.870	1.032	6.72e-34
AC002454.1	ENSG00000237819.5	1.970	0.470	1.015	3.97e-26
AC002456.2	ENSG00000223969.5	8.190	1.110	2.123	3.29e-54
AC004057.1	ENSG00000196656.7	753.518	201.536	1.897	1.16e-42
AC004067.5	ENSG00000273447.1	1.860	0.330	1.105	7.43e-51
AC004453.8	ENSG00000146677.7	10.880	2.050	1.962	3.09e-67
AC004540.4	ENSG00000225792.1	21.760	2.730	2.609	1.83e-27
AC004540.5	ENSG00000214870.8	7.100	2.730	1.119	2.65e-14
AC005062.2	ENSG00000243004.5	8.160	3.000	1.195	4.92e-43
AC005255.3	ENSG00000256210.3	1.650	0.000	1.406	6.87e-28
AC005330.2	ENSG00000267372.2	1.420	6.450	-1.622	3.84e-39
AC005339.2	ENSG00000268565.1	3.870	12.070	-1.424	3.16e-22
AC005562.1	ENSG00000214719.11	7.910	2.040	1.551	2.22e-74
AC005786.7	ENSG00000267436.1	0.000	2.670	-1.876	3.74e-11
AC005943.2	ENSG00000267059.2	19.760	0.350	3.943	1.49e-54
AC005944.2	ENSG00000267469.1	32.570	89.859	-1.436	1.01e-17
