Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
A1BG	ENSG00000121410.11	8.040	2.975	1.185	1.39e-5
A2ML1	ENSG00000166535.19	43.640	236.270	-2.410	4.67e-4
AADAC	ENSG00000114771.13	0.270	4.034	-1.987	2.14e-12
ABCA8	ENSG00000141338.13	0.310	2.210	-1.293	4.28e-22
ABCD1	ENSG00000101986.11	6.790	2.765	1.049	1.74e-16
ABCG1	ENSG00000160179.18	12.280	5.605	1.008	8.69e-11
ABI3BP	ENSG00000154175.16	2.090	6.725	-1.322	3.35e-6
ABL2	ENSG00000143322.19	5.580	1.800	1.233	3.99e-20
AC002398.12	ENSG00000267328.1	0.220	2.135	-1.362	1.79e-23
AC005083.1	ENSG00000233834.6	0.880	3.140	-1.139	4.74e-11
AC005339.2	ENSG00000268565.1	4.450	1.285	1.254	3.52e-8
AC006011.4	ENSG00000244563.1	12.480	5.625	1.025	2.46e-14
AC006262.5	ENSG00000268621.5	5.820	1.740	1.316	2.06e-5
AC007879.7	ENSG00000229647.1	3.240	0.565	1.438	1.02e-15
AC009948.5	ENSG00000223960.6	5.510	1.855	1.189	2.62e-17
AC010677.5	ENSG00000232383.1	4.420	0.000	2.438	1.11e-12
AC021066.1	ENSG00000281415.1	0.000	8.344	-3.224	1.62e-3
AC098973.2	ENSG00000225548.5	6.660	0.000	2.937	1.34e-9
AC108676.1	ENSG00000244675.2	1.170	0.010	1.103	9.06e-10
AC133644.2	ENSG00000280721.1	2.700	0.465	1.337	5.14e-20
AC239868.2	ENSG00000280874.1	28.769	12.141	1.180	1.01e-6
AC239868.3	ENSG00000281134.1	28.620	12.141	1.173	4.26e-6
ACADSB	ENSG00000196177.12	3.290	7.645	-1.011	1.41e-9
ACD	ENSG00000102977.13	19.030	8.530	1.072	5.04e-29
ACER1	ENSG00000167769.4	0.240	3.366	-1.816	1.04e-13
ACKR1	ENSG00000213088.9	4.600	22.709	-2.082	3.93e-16
ACKR3	ENSG00000144476.5	48.650	19.161	1.300	1.79e-7
ACLY	ENSG00000131473.16	47.980	23.365	1.007	7.01e-16
ACOT7	ENSG00000097021.19	70.599	28.773	1.266	2.68e-32
ACOT9	ENSG00000123130.16	24.680	8.461	1.441	5.30e-31
ACP5	ENSG00000102575.10	75.269	25.425	1.529	4.82e-22
ACPP	ENSG00000014257.15	4.230	15.315	-1.641	7.13e-10
ACTA1	ENSG00000143632.14	0.780	219.017	-6.950	1.21e-7
ACTL6A	ENSG00000136518.16	59.371	22.579	1.356	2.84e-24
ACTN1	ENSG00000072110.13	167.927	65.689	1.341	1.31e-11
ACTN2	ENSG00000077522.12	0.370	19.018	-3.869	1.19e-6
ACVR1	ENSG00000115170.13	19.860	8.081	1.200	9.13e-13
ADA	ENSG00000196839.12	21.290	5.443	1.791	7.07e-29
ADAM12	ENSG00000148848.14	5.560	0.230	2.415	6.13e-20
ADAM19	ENSG00000135074.15	5.710	1.773	1.275	5.72e-10
ADAM23	ENSG00000114948.12	6.530	2.429	1.135	5.64e-5
ADAM8	ENSG00000151651.15	13.000	2.945	1.828	1.49e-20
ADAMDEC1	ENSG00000134028.14	2.670	0.620	1.180	6.00e-7
ADAMTS12	ENSG00000151388.10	2.370	0.220	1.466	1.46e-13
ADAMTS2	ENSG00000087116.13	11.320	0.970	2.645	2.55e-22
ADAMTS4	ENSG00000158859.9	3.040	0.815	1.154	2.21e-3
ADAMTS7	ENSG00000136378.14	1.780	0.330	1.064	1.00e-14
ADAR	ENSG00000160710.15	72.579	33.205	1.105	1.53e-18
ADCY2	ENSG00000078295.15	0.460	2.285	-1.170	3.98e-7
ADCY3	ENSG00000138031.14	34.009	15.880	1.052	5.34e-22
ADGRB2	ENSG00000121753.12	1.740	0.355	1.016	2.74e-10
ADGRF1	ENSG00000153292.15	2.510	9.973	-1.644	2.78e-9
ADH1B	ENSG00000196616.12	0.060	5.575	-2.633	1.34e-52
ADH1C	ENSG00000248144.5	0.160	3.400	-1.923	1.35e-7
ADH7	ENSG00000196344.11	9.780	80.860	-2.925	2.35e-4
ADIPOQ	ENSG00000181092.9	0.000	1.455	-1.295	1.13e-40
ADM	ENSG00000148926.9	84.109	35.194	1.234	2.63e-8
ADPGK	ENSG00000159322.17	27.340	13.130	1.004	4.52e-23
ADTRP	ENSG00000111863.12	4.730	1.000	1.519	5.50e-9
AEBP1	ENSG00000106624.8	84.612	16.089	2.325	2.87e-16
AFAP1L1	ENSG00000157510.13	6.030	2.260	1.109	4.51e-7
AFAP1L2	ENSG00000169129.14	21.660	7.219	1.463	1.16e-11
AGAP2-AS1	ENSG00000255737.2	16.939	7.568	1.066	8.66e-26
AGFG2	ENSG00000106351.12	8.950	20.710	-1.126	5.69e-16
AGO2	ENSG00000123908.11	10.990	4.715	1.069	2.92e-15
