Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
A1BG	ENSG00000121410.11	1.870	8.650	-1.750	3.43e-7
A1CF	ENSG00000148584.14	0.000	1.040	-1.029	3.09e-10
A2M	ENSG00000175899.14	62.865	215.224	-1.759	2.54e-5
A4GALT	ENSG00000128274.15	7.035	28.561	-1.879	1.46e-6
AARSD1	ENSG00000266967.6	14.455	30.890	-1.045	9.68e-5
AASS	ENSG00000008311.14	1.029	5.890	-1.763	4.47e-13
ABAT	ENSG00000183044.11	2.120	11.820	-2.039	4.01e-11
ABC12-49244600F4.4	ENSG00000276144.1	0.135	3.360	-1.942	1.54e-17
ABCA4	ENSG00000198691.11	0.060	1.460	-1.215	1.42e-10
ABCA6	ENSG00000154262.12	0.160	1.730	-1.235	1.56e-12
ABCA8	ENSG00000141338.13	0.220	3.140	-1.763	5.07e-8
ABCB1	ENSG00000085563.14	0.515	20.841	-3.850	2.47e-17
ABCB6	ENSG00000115657.12	1.875	11.030	-2.065	3.19e-13
ABCC10	ENSG00000124574.14	3.585	8.520	-1.054	4.34e-7
ABCC2	ENSG00000023839.10	0.045	1.900	-1.473	1.06e-8
ABCC3	ENSG00000108846.15	0.665	9.290	-2.628	4.47e-14
ABCC6	ENSG00000091262.14	1.455	13.030	-2.515	9.46e-13
ABCC6P1	ENSG00000256340.8	0.220	5.020	-2.303	4.84e-15
ABCC6P2	ENSG00000255277.3	0.095	4.200	-2.248	7.80e-16
ABCD3	ENSG00000117528.11	11.848	25.210	-1.029	7.28e-4
ABCG1	ENSG00000160179.18	37.269	8.560	2.001	3.64e-11
ABHD16A	ENSG00000204427.11	16.515	38.689	-1.180	1.88e-4
ABHD2	ENSG00000140526.16	58.409	11.870	2.207	5.13e-9
ABHD3	ENSG00000158201.9	45.041	10.390	2.015	1.56e-12
ABI2	ENSG00000138443.15	8.060	17.259	-1.011	1.38e-3
ABI3	ENSG00000108798.8	3.284	7.900	-1.055	2.61e-5
ABI3BP	ENSG00000154175.16	2.010	13.090	-2.227	9.36e-10
ABLIM1	ENSG00000099204.18	13.193	30.199	-1.136	7.53e-4
ABLIM2	ENSG00000163995.18	0.570	4.510	-1.811	2.41e-11
ABLIM3	ENSG00000173210.19	1.110	6.380	-1.806	2.01e-4
ABO	ENSG00000175164.13	0.255	7.430	-2.748	1.33e-8
ABRACL	ENSG00000146386.7	10.629	23.169	-1.055	3.60e-4
ABTB1	ENSG00000114626.17	11.570	26.339	-1.121	5.19e-6
AC000089.3	ENSG00000235776.2	2.140	0.490	1.075	5.74e-4
AC002398.12	ENSG00000267328.1	0.195	1.700	-1.176	1.25e-7
AC004540.4	ENSG00000225792.1	2.305	8.910	-1.584	2.18e-6
AC005083.1	ENSG00000233834.6	5.971	13.610	-1.068	1.62e-4
AC005255.3	ENSG00000256210.3	4.330	1.420	1.139	4.52e-3
AC005523.2	ENSG00000269604.1	21.044	9.270	1.102	1.62e-7
AC005943.2	ENSG00000267059.2	10.565	0.260	3.198	6.37e-7
AC005944.2	ENSG00000267469.1	20.774	8.740	1.161	1.39e-4
AC006126.4	ENSG00000267045.1	2.379	9.010	-1.567	4.99e-7
AC006273.5	ENSG00000267530.2	0.295	3.440	-1.778	2.00e-12
AC006449.2	ENSG00000279119.1	10.330	24.010	-1.142	4.84e-5
AC006547.13	ENSG00000236540.7	5.290	1.910	1.112	2.08e-13
AC007192.6	ENSG00000269145.2	1.005	3.130	-1.043	2.25e-4
AC007566.10	ENSG00000244055.1	0.220	1.560	-1.069	8.52e-13
AC007879.6	ENSG00000225064.1	31.053	0.770	4.179	1.54e-16
AC009014.3	ENSG00000271824.1	0.040	15.240	-3.965	2.87e-16
AC009065.4	ENSG00000279473.1	5.458	0.000	2.691	1.59e-4
AC009299.3	ENSG00000227403.1	0.030	1.250	-1.127	8.78e-6
AC009403.2	ENSG00000216895.8	2.940	7.150	-1.049	8.23e-8
AC009506.1	ENSG00000224152.1	0.810	3.030	-1.155	1.91e-7
AC010883.5	ENSG00000234936.1	0.245	1.490	-1.000	2.87e-12
AC010890.1	ENSG00000226953.7	3.955	0.390	1.834	6.58e-11
AC011523.2	ENSG00000267968.1	2.495	0.000	1.805	1.77e-17
AC011558.5	ENSG00000279753.1	7.440	19.560	-1.285	1.06e-6
AC012146.7	ENSG00000234327.7	1.305	6.210	-1.645	1.43e-8
AC012499.1	ENSG00000229941.5	3.655	0.510	1.624	7.03e-8
AC013275.2	ENSG00000231013.1	0.050	3.940	-2.234	6.29e-12
AC013472.4	ENSG00000230286.1	1.814	0.000	1.493	5.13e-4
AC016747.3	ENSG00000212978.6	2.170	6.530	-1.248	2.04e-6
AC026471.6	ENSG00000260740.2	0.040	1.910	-1.484	2.46e-10
AC027612.6	ENSG00000143429.9	5.645	29.219	-2.185	1.42e-8
AC068580.6	ENSG00000235027.1	3.890	1.120	1.206	1.53e-11
AC069213.1	ENSG00000224769.1	53.356	7.620	2.657	2.32e-6
AC073283.4	ENSG00000234690.6	0.230	2.450	-1.488	1.04e-13
AC074212.6	ENSG00000267395.5	0.515	2.790	-1.323	5.09e-14
AC074286.1	ENSG00000213963.6	0.945	3.690	-1.270	8.46e-9
AC074289.1	ENSG00000225889.7	0.215	3.900	-2.012	5.16e-18
AC079630.2	ENSG00000223914.1	0.000	2.360	-1.748	6.22e-11
AC079630.4	ENSG00000225342.2	0.130	4.700	-2.335	8.06e-12
AC093326.1	ENSG00000223985.1	0.000	3.170	-2.060	2.04e-11
AC093838.4	ENSG00000152117.17	1.810	5.580	-1.227	3.26e-9
AC098614.2	ENSG00000213846.4	0.885	4.270	-1.484	1.58e-10
AC106869.2	ENSG00000226087.1	7.237	0.050	2.972	4.85e-16
AC107057.1	ENSG00000232835.1	0.000	1.310	-1.208	3.96e-8
AC108488.4	ENSG00000242282.6	1.549	5.670	-1.388	2.69e-7
AC109642.1	ENSG00000235997.2	0.070	1.750	-1.362	6.40e-16
AC118345.1	ENSG00000227293.1	4.894	0.000	2.559	8.72e-16
AC124789.1	ENSG00000276170.4	0.350	4.330	-1.981	4.87e-14
AC124944.5	ENSG00000223783.1	0.000	1.980	-1.575	2.38e-13
AC132217.4	ENSG00000240801.1	0.680	18.400	-3.530	2.40e-17
AC141928.1	ENSG00000250986.1	0.020	1.250	-1.141	6.55e-16
AC147651.5	ENSG00000229380.1	0.040	2.220	-1.630	1.20e-12
AC159540.1	ENSG00000230606.10	1.770	7.460	-1.611	3.13e-5
ACAA1	ENSG00000060971.17	48.115	104.611	-1.105	9.34e-5
