Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
ABAT	ENSG00000183044.11	4.370	22.650	-2.139	2.01e-45
ABCA1	ENSG00000165029.15	11.660	3.680	1.436	1.50e-39
ABCA8	ENSG00000141338.13	1.310	5.354	-1.460	7.91e-28
ABCB1	ENSG00000085563.14	13.890	39.091	-1.429	2.77e-13
ABCB4	ENSG00000005471.15	2.020	0.405	1.104	1.06e-23
ABCB6	ENSG00000115657.12	34.040	11.940	1.437	2.59e-35
ABCC3	ENSG00000108846.15	51.360	8.465	2.468	8.58e-46
ABCG1	ENSG00000160179.18	27.389	8.928	1.516	4.04e-44
ABHD11-AS1	ENSG00000225969.1	2.650	0.550	1.236	1.54e-25
ABHD17C	ENSG00000136379.11	3.720	15.182	-1.778	1.70e-54
ABI3	ENSG00000108798.8	19.590	7.360	1.300	1.20e-33
ABLIM3	ENSG00000173210.19	37.491	8.295	2.050	2.40e-39
ABO	ENSG00000175164.13	2.870	7.984	-1.215	3.25e-9
ABTB2	ENSG00000166016.5	2.120	8.965	-1.675	2.51e-36
AC002398.12	ENSG00000267328.1	0.720	3.225	-1.297	1.53e-13
AC004540.4	ENSG00000225792.1	2.790	8.805	-1.371	4.89e-22
AC005082.12	ENSG00000226816.2	0.240	4.440	-2.133	6.03e-64
AC005281.2	ENSG00000225606.1	0.070	1.300	-1.104	3.93e-62
AC005355.2	ENSG00000251169.2	3.210	0.800	1.226	1.48e-25
AC007009.1	ENSG00000244239.1	0.620	3.345	-1.423	8.18e-50
AC007283.5	ENSG00000234431.2	4.950	1.495	1.254	4.54e-36
AC007326.9	ENSG00000271275.1	1.420	0.000	1.275	3.46e-29
AC007620.3	ENSG00000242539.2	6.230	2.525	1.036	1.64e-16
AC009014.3	ENSG00000271824.1	3.380	16.120	-1.967	2.41e-13
AC013463.2	ENSG00000236283.3	0.310	8.325	-2.832	1.14e-95
AC019117.1	ENSG00000236318.1	7.520	0.125	2.921	5.19e-24
AC019181.2	ENSG00000233255.1	0.120	5.435	-2.522	5.70e-103
AC021066.1	ENSG00000281415.1	0.000	55.274	-5.814	4.34e-35
AC026471.6	ENSG00000260740.2	0.130	1.385	-1.077	1.37e-46
AC069213.1	ENSG00000224769.1	2.680	7.108	-1.140	2.61e-7
AC074286.1	ENSG00000213963.6	1.500	9.879	-2.122	6.69e-70
AC078883.3	ENSG00000232788.1	2.390	0.295	1.388	8.18e-51
AC092580.4	ENSG00000235576.1	3.620	0.490	1.633	1.57e-34
AC093326.1	ENSG00000223985.1	0.080	5.249	-2.533	8.05e-43
AC093616.4	ENSG00000234231.3	1.900	0.415	1.035	2.15e-30
AC093818.1	ENSG00000225205.5	2.980	0.705	1.223	5.86e-64
AC107057.1	ENSG00000232835.1	0.000	1.035	-1.025	3.31e-83
AC114803.3	ENSG00000230432.1	1.990	0.000	1.580	1.46e-38
AC124944.5	ENSG00000223783.1	0.000	2.590	-1.844	8.06e-135
AC132217.4	ENSG00000240801.1	1.760	10.934	-2.112	5.01e-10
AC133644.2	ENSG00000280721.1	3.460	0.480	1.591	6.26e-54
AC144831.1	ENSG00000261888.1	0.350	2.700	-1.455	6.41e-70
AC144831.3	ENSG00000274370.1	0.450	3.193	-1.532	1.10e-65
AC147651.4	ENSG00000237181.1	2.480	0.610	1.112	4.37e-43
AC147651.5	ENSG00000229380.1	8.830	2.180	1.628	1.50e-9
AC156455.1	ENSG00000256546.1	3.980	0.745	1.513	8.66e-34
AC159540.1	ENSG00000230606.10	11.850	2.975	1.693	1.73e-18
AC234582.1	ENSG00000279487.1	1.170	11.358	-2.510	3.04e-28
AC239868.2	ENSG00000280874.1	16.580	7.615	1.029	5.26e-9
AC239868.3	ENSG00000281134.1	16.580	7.615	1.029	5.26e-9
