Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
A1CF	ENSG00000148584.14	0.370	1.960	-1.111	2.71e-8
A2M	ENSG00000175899.14	86.085	197.149	-1.186	5.28e-7
ABCA3	ENSG00000167972.13	18.960	6.745	1.366	1.04e-18
ABCB1	ENSG00000085563.14	63.195	28.444	1.124	2.00e-3
ABCC3	ENSG00000108846.15	46.741	9.465	2.190	5.40e-13
ABCC6P2	ENSG00000255277.3	12.580	5.597	1.042	4.82e-3
ABHD11	ENSG00000106077.18	100.558	32.990	1.579	3.02e-13
ABHD11-AS1	ENSG00000225969.1	4.840	0.630	1.841	1.68e-15
ABI3BP	ENSG00000154175.16	41.878	14.455	1.472	5.02e-6
ABO	ENSG00000175164.13	2.550	7.642	-1.284	7.61e-6
ABR	ENSG00000159842.14	47.230	21.695	1.088	1.83e-13
AC000123.3	ENSG00000279265.1	2.995	0.950	1.035	1.69e-7
AC005255.3	ENSG00000256210.3	3.995	1.180	1.196	8.76e-7
AC006126.4	ENSG00000267045.1	0.560	8.035	-2.534	5.41e-38
AC007283.5	ENSG00000234431.2	5.095	1.045	1.576	2.84e-15
AC009065.4	ENSG00000279473.1	3.175	0.000	2.062	3.15e-9
AC013271.3	ENSG00000186148.11	0.405	2.285	-1.225	6.33e-12
AC013275.2	ENSG00000231013.1	0.445	3.084	-1.499	8.21e-10
AC013463.2	ENSG00000236283.3	2.440	6.950	-1.209	1.88e-6
AC019117.1	ENSG00000236318.1	2.060	0.080	1.502	3.55e-7
AC019181.2	ENSG00000233255.1	0.815	3.530	-1.320	5.38e-8
AC025171.1	ENSG00000215068.7	2.025	0.470	1.041	1.37e-13
AC026471.6	ENSG00000260740.2	0.140	3.424	-1.956	7.58e-23
AC027612.6	ENSG00000143429.9	73.094	34.440	1.064	1.10e-6
AC069213.1	ENSG00000224769.1	0.920	5.208	-1.693	1.36e-19
AC074286.1	ENSG00000213963.6	1.500	9.660	-2.092	1.27e-25
AC079630.2	ENSG00000223914.1	28.494	2.275	3.171	1.24e-18
AC079630.4	ENSG00000225342.2	17.319	4.155	1.829	2.05e-14
AC079767.4	ENSG00000224137.1	1.180	0.065	1.033	1.26e-9
AC092580.4	ENSG00000235576.1	1.885	0.310	1.139	5.25e-5
AC093326.1	ENSG00000223985.1	0.100	9.219	-3.216	3.00e-34
AC093673.5	ENSG00000232533.1	17.775	5.385	1.556	3.80e-23
AC104534.3	ENSG00000268083.5	1.510	0.000	1.328	6.45e-6
AC108142.1	ENSG00000177822.7	1.910	0.395	1.061	6.08e-11
AC110615.1	ENSG00000279909.1	3.150	0.555	1.416	5.52e-4
AC113188.2	ENSG00000279535.1	10.045	3.640	1.251	1.93e-5
AC124789.1	ENSG00000276170.4	0.390	3.795	-1.786	6.99e-29
AC124944.5	ENSG00000223783.1	0.000	1.699	-1.432	3.45e-56
AC132217.4	ENSG00000240801.1	1.615	17.157	-2.796	1.35e-19
AC144831.1	ENSG00000261888.1	0.760	2.840	-1.126	2.06e-15
AC147651.5	ENSG00000229380.1	12.590	1.930	2.214	8.21e-8
AC234582.1	ENSG00000279487.1	1.590	10.399	-2.138	3.36e-8
AC245100.1	ENSG00000280649.1	10.830	4.740	1.043	4.61e-13
ACACB	ENSG00000076555.15	6.410	13.950	-1.013	3.25e-10
ACADSB	ENSG00000196177.12	9.190	22.950	-1.233	7.41e-11
ACE2	ENSG00000130234.10	39.084	11.054	1.734	2.04e-4
ACHE	ENSG00000087085.13	5.715	1.590	1.375	3.13e-6
ACOT11	ENSG00000162390.17	8.130	20.102	-1.209	1.03e-4
ACOT12	ENSG00000172497.8	0.000	1.305	-1.204	2.74e-32
ACPP	ENSG00000014257.15	0.275	14.762	-3.628	3.54e-64
ACRBP	ENSG00000111644.7	4.670	1.540	1.158	1.20e-13
ACSF2	ENSG00000167107.12	22.360	80.649	-1.805	2.29e-15
ACSL1	ENSG00000151726.13	50.676	124.012	-1.275	4.37e-5
ACSM1	ENSG00000166743.9	5.500	0.660	1.969	4.88e-16
ACSM5	ENSG00000183549.10	21.625	9.465	1.112	3.11e-6
ACTA2	ENSG00000107796.12	55.595	157.046	-1.482	8.10e-7
ACTG2	ENSG00000163017.13	0.520	2.400	-1.161	3.53e-4
ACVRL1	ENSG00000139567.12	5.730	14.865	-1.237	1.01e-11
ADAMTS4	ENSG00000158859.9	0.340	1.695	-1.008	1.25e-7
ADAMTS9	ENSG00000163638.13	26.549	10.325	1.283	2.00e-5
ADAMTSL1	ENSG00000178031.15	0.180	2.815	-1.693	4.02e-56
ADAMTSL2	ENSG00000197859.9	1.730	13.935	-2.452	6.76e-30
ADCK2	ENSG00000133597.9	28.590	12.074	1.178	8.36e-27
ADCY1	ENSG00000164742.14	0.090	1.460	-1.174	9.71e-24
ADCY2	ENSG00000078295.15	2.930	0.385	1.505	1.21e-10
ADCY4	ENSG00000129467.13	1.190	13.325	-2.709	2.70e-53
ADCY7	ENSG00000121281.12	4.020	1.225	1.174	6.41e-12
ADGRA2	ENSG00000020181.17	1.065	5.585	-1.673	4.87e-9
ADGRF1	ENSG00000153292.15	4.660	23.125	-2.092	1.80e-13
ADGRF5	ENSG00000069122.18	2.375	35.584	-3.438	1.87e-41
ADGRG6	ENSG00000112414.14	8.940	2.679	1.434	1.48e-7
ADGRL4	ENSG00000162618.12	2.190	10.828	-1.891	9.21e-17
ADGRV1	ENSG00000164199.15	0.110	1.460	-1.148	3.48e-47
ADH1B	ENSG00000196616.12	1.060	36.023	-4.168	3.70e-34
ADH1C	ENSG00000248144.5	0.140	9.940	-3.263	1.42e-47
ADH6	ENSG00000172955.17	1.605	8.790	-1.910	3.60e-10
ADM	ENSG00000148926.9	12.630	36.235	-1.450	6.65e-3
ADORA2A	ENSG00000128271.19	1.520	4.600	-1.152	2.66e-16
ADORA2A-AS1	ENSG00000178803.10	0.420	2.080	-1.117	2.56e-14
ADRA2B	ENSG00000274286.1	0.190	1.785	-1.227	7.40e-40
ADRA2C	ENSG00000184160.7	1.230	8.870	-2.146	1.12e-24
ADTRP	ENSG00000111863.12	0.370	3.789	-1.806	3.63e-34
AEN	ENSG00000181026.14	11.865	4.940	1.115	1.36e-24
AF127577.10	ENSG00000229047.1	20.955	6.565	1.537	8.52e-5
AF186192.5	ENSG00000255085.8	0.135	1.665	-1.231	1.59e-24
