Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
A1BG-AS1	ENSG00000268895.5	9.240	2.895	1.394	6.72e-3
AACSP1	ENSG00000250420.8	0.000	2.535	-1.822	5.97e-60
AAGAB	ENSG00000103591.12	20.520	52.548	-1.315	1.33e-10
AAK1	ENSG00000115977.18	55.981	8.710	2.553	1.13e-11
AAMDC	ENSG00000087884.14	13.390	28.505	-1.036	5.83e-4
AARS	ENSG00000090861.15	31.441	205.329	-2.669	1.07e-17
AATBC	ENSG00000215458.8	4.130	0.565	1.713	7.49e-3
ABALON	ENSG00000281376.1	0.960	3.300	-1.133	8.99e-7
ABAT	ENSG00000183044.11	7.830	0.175	2.910	2.56e-18
ABCA1	ENSG00000165029.15	3.810	0.020	2.237	6.92e-6
ABCA5	ENSG00000154265.15	6.070	1.535	1.480	2.85e-3
ABCA8	ENSG00000141338.13	0.160	12.800	-3.572	1.81e-19
ABCB10P1	ENSG00000274099.1	0.000	2.750	-1.907	4.56e-37
ABCB10P3	ENSG00000261524.1	0.000	10.505	-3.524	2.98e-77
ABCB10P4	ENSG00000260053.2	0.000	25.325	-4.718	1.18e-87
ABCB6	ENSG00000115657.12	5.310	20.200	-1.748	7.69e-3
ABCB8	ENSG00000197150.12	18.020	45.984	-1.305	5.35e-8
ABCC1	ENSG00000103222.18	54.191	20.569	1.355	4.09e-4
ABCC2	ENSG00000023839.10	1.110	0.050	1.007	3.91e-4
ABCC6	ENSG00000091262.14	5.180	0.195	2.371	1.66e-12
ABCD4	ENSG00000119688.20	50.882	18.080	1.443	1.39e-3
ABCF2	ENSG00000033050.7	24.609	54.570	-1.118	5.50e-8
ABCG1	ENSG00000160179.18	6.200	0.030	2.805	1.73e-4
ABHD11	ENSG00000106077.18	7.670	21.410	-1.370	7.07e-5
ABHD12B	ENSG00000131969.14	4.610	0.120	2.325	9.75e-9
ABHD13	ENSG00000139826.5	8.190	3.310	1.092	2.44e-4
ABHD15	ENSG00000168792.4	12.370	2.210	2.058	4.58e-6
ABHD17AP1	ENSG00000198658.4	2.200	0.165	1.458	9.35e-5
ABHD17B	ENSG00000107362.13	21.960	7.755	1.391	1.70e-3
ABHD3	ENSG00000158201.9	38.340	15.320	1.269	4.10e-4
ABHD5	ENSG00000011198.7	13.850	38.019	-1.394	2.12e-3
ABLIM1	ENSG00000099204.18	9.140	0.150	3.140	2.43e-3
ABO	ENSG00000175164.13	1.520	10.930	-2.243	6.65e-3
ABR	ENSG00000159842.14	61.439	1.095	4.897	1.45e-20
ABRACL	ENSG00000146386.7	87.881	3.110	4.435	1.26e-37
ABT1	ENSG00000146109.4	9.660	24.480	-1.257	3.30e-15
ABTB1	ENSG00000114626.17	36.549	2.830	3.293	3.14e-11
ABTB2	ENSG00000166016.5	2.940	0.225	1.685	2.74e-5
AC000041.8	ENSG00000242156.1	0.000	7.885	-3.151	5.32e-3
AC000078.5	ENSG00000232926.1	3.170	0.610	1.373	3.01e-3
AC000120.7	ENSG00000243107.1	4.130	0.550	1.727	3.65e-8
AC002400.1	ENSG00000261528.2	5.150	0.070	2.523	4.96e-6
AC002454.1	ENSG00000237819.5	17.430	0.805	3.352	2.97e-4
AC002467.7	ENSG00000241764.3	2.850	11.200	-1.664	1.42e-11
AC002480.2	ENSG00000238033.1	0.020	1.495	-1.290	1.84e-28
AC002480.3	ENSG00000232759.1	0.050	1.925	-1.478	3.32e-26
AC002480.5	ENSG00000225541.1	0.060	3.995	-2.236	9.28e-32
AC002539.1	ENSG00000230258.6	0.000	3.770	-2.254	1.18e-52
AC002543.2	ENSG00000235945.1	3.480	0.020	2.135	3.09e-5
AC002550.6	ENSG00000276571.1	3.330	0.580	1.455	1.05e-5
AC002984.2	ENSG00000267005.1	1.580	0.000	1.367	6.05e-4
AC004067.5	ENSG00000273447.1	3.750	0.525	1.639	3.54e-4
AC004076.5	ENSG00000276449.1	1.640	0.215	1.120	6.17e-3
AC004158.3	ENSG00000260664.2	1.170	0.050	1.047	3.97e-6
AC004453.8	ENSG00000146677.7	3.320	10.320	-1.390	9.08e-4
AC004878.2	ENSG00000277675.1	1.890	0.145	1.336	1.13e-5
AC004893.10	ENSG00000238109.1	1.930	0.065	1.460	6.22e-8
AC004893.11	ENSG00000242687.2	7.040	1.110	1.930	1.77e-8
AC004951.6	ENSG00000228434.1	14.910	1.420	2.717	1.64e-10
AC004980.10	ENSG00000214243.3	4.400	0.175	2.200	4.35e-7
AC005083.1	ENSG00000233834.6	0.550	4.480	-1.822	4.49e-4
AC005086.1	ENSG00000279724.1	1.630	0.000	1.395	6.12e-4
AC005150.1	ENSG00000248431.1	0.000	1.855	-1.513	3.55e-24
AC005154.6	ENSG00000196295.11	117.091	30.506	1.906	9.43e-5
AC005154.7	ENSG00000244480.1	5.070	0.440	2.076	2.29e-9
AC005154.8	ENSG00000226874.1	7.800	0.255	2.810	3.53e-7
AC005256.1	ENSG00000267073.1	0.000	3.245	-2.086	4.64e-15
AC005264.2	ENSG00000267551.3	8.200	0.220	2.915	4.43e-7
AC005307.1	ENSG00000260725.1	0.000	23.226	-4.598	1.56e-103
AC005307.3	ENSG00000267243.5	0.020	60.480	-5.913	1.33e-72
AC005363.9	ENSG00000255513.1	7.320	0.055	2.980	2.20e-5
AC005519.4	ENSG00000258559.2	5.440	0.535	2.069	2.02e-8
AC005537.2	ENSG00000232006.8	0.000	1.350	-1.233	2.53e-18
AC005538.3	ENSG00000279809.1	0.920	2.900	-1.022	2.69e-3
AC005562.1	ENSG00000214719.11	13.210	0.260	3.495	1.07e-19
AC005592.2	ENSG00000231185.6	0.000	2.540	-1.824	9.02e-27
AC005616.1	ENSG00000266893.1	0.000	4.700	-2.511	8.16e-86
AC005776.1	ENSG00000270802.2	6.470	0.230	2.602	1.04e-8
AC005785.5	ENSG00000279203.1	5.310	0.530	2.044	8.37e-13
