Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
A2M	ENSG00000175899.14	155.497	32.070	2.243	1.46e-86
AACS	ENSG00000081760.16	9.200	27.210	-1.468	4.99e-34
AAED1	ENSG00000158122.11	5.180	2.070	1.009	8.64e-76
AAMDC	ENSG00000087884.14	48.070	12.580	1.853	1.02e-123
AAR2	ENSG00000131043.11	26.041	8.130	1.566	2.52e-122
AASS	ENSG00000008311.14	12.155	3.980	1.401	5.31e-30
AATF	ENSG00000275700.4	43.265	13.440	1.616	5.30e-118
AATK	ENSG00000181409.11	27.269	62.599	-1.170	2.80e-15
ABCA1	ENSG00000165029.15	13.989	1.250	2.736	3.83e-94
ABCA10	ENSG00000154263.17	0.240	2.440	-1.472	1.04e-88
ABCA5	ENSG00000154265.15	2.065	12.290	-2.116	6.97e-41
ABCA7	ENSG00000064687.12	3.580	14.420	-1.751	1.18e-43
ABCA9	ENSG00000154258.16	0.615	2.700	-1.196	9.07e-59
ABCB7	ENSG00000131269.15	12.245	4.180	1.354	1.37e-81
ABCB9	ENSG00000150967.17	6.205	15.030	-1.154	2.96e-21
ABCC12	ENSG00000140798.15	0.060	2.630	-1.776	3.22e-91
ABCC4	ENSG00000125257.13	4.790	0.670	1.794	5.01e-86
ABCC6P2	ENSG00000255277.3	1.905	0.320	1.138	2.06e-46
ABCC8	ENSG00000006071.11	19.315	54.799	-1.458	1.74e-19
ABCD1	ENSG00000101986.11	5.640	1.820	1.236	2.54e-71
ABCD3	ENSG00000117528.11	28.046	9.720	1.438	2.30e-67
ABCE1	ENSG00000164163.10	24.880	10.020	1.232	3.57e-48
ABCF1	ENSG00000204574.12	42.449	16.800	1.287	3.94e-71
ABCG1	ENSG00000160179.18	19.155	4.530	1.866	2.18e-72
ABCG2	ENSG00000118777.10	18.850	7.200	1.275	5.14e-47
ABCG4	ENSG00000172350.9	0.640	9.220	-2.640	1.28e-71
ABHD12B	ENSG00000131969.14	0.970	7.250	-2.066	1.92e-62
ABHD2	ENSG00000140526.16	27.680	12.210	1.118	2.72e-28
ABHD4	ENSG00000100439.10	43.205	7.260	2.420	3.51e-119
ABHD5	ENSG00000011198.7	13.720	3.690	1.650	4.31e-81
ABHD6	ENSG00000163686.13	29.990	14.480	1.001	3.62e-26
ABHD8	ENSG00000127220.5	18.085	75.750	-2.008	1.04e-55
ABI1	ENSG00000136754.16	53.584	22.290	1.229	7.27e-29
ABI3	ENSG00000108798.8	9.025	1.190	2.195	8.04e-62
ABI3BP	ENSG00000154175.16	15.910	1.120	2.996	5.20e-47
ABL1	ENSG00000097007.17	40.985	12.660	1.620	5.36e-70
ABLIM2	ENSG00000163995.18	8.115	53.820	-2.588	1.24e-56
ABTB1	ENSG00000114626.17	15.620	62.189	-1.927	7.07e-56
AC000041.10	ENSG00000274457.1	0.000	17.730	-4.227	7.52e-31
AC000089.3	ENSG00000235776.2	2.365	0.120	1.587	7.90e-117
AC000095.11	ENSG00000273164.1	0.910	6.110	-1.896	1.53e-63
AC002116.8	ENSG00000248101.2	0.535	2.190	-1.055	1.88e-34
AC004057.1	ENSG00000196656.7	508.568	201.536	1.331	3.54e-25
AC004540.4	ENSG00000225792.1	44.515	2.730	3.609	1.04e-41
AC004540.5	ENSG00000214870.8	9.385	2.730	1.477	1.66e-21
AC004854.4	ENSG00000234183.1	1.120	0.000	1.084	1.17e-20
AC005255.3	ENSG00000256210.3	4.740	0.000	2.521	6.45e-75
AC005329.7	ENSG00000248015.6	3.040	0.910	1.081	1.55e-23
AC005339.2	ENSG00000268565.1	1.940	12.070	-2.152	1.67e-41
AC005562.1	ENSG00000214719.11	9.040	2.040	1.724	2.17e-92
AC005943.2	ENSG00000267059.2	8.320	0.350	2.787	7.23e-24
AC005944.2	ENSG00000267469.1	26.610	89.859	-1.718	9.15e-34
AC006466.5	ENSG00000232887.1	2.615	0.360	1.410	4.27e-24
AC006538.4	ENSG00000267001.1	1.940	0.000	1.556	1.79e-25
AC007009.1	ENSG00000244239.1	0.875	4.190	-1.469	1.37e-40
AC007192.6	ENSG00000269145.2	9.605	85.520	-3.028	7.62e-55
AC007229.3	ENSG00000267544.1	2.775	0.580	1.257	2.01e-104
AC007246.3	ENSG00000231312.6	10.580	25.950	-1.219	1.21e-40
AC007318.5	ENSG00000172974.11	10.825	3.750	1.316	1.44e-45
AC007383.3	ENSG00000227946.1	10.425	3.640	1.300	6.04e-84
AC007620.3	ENSG00000242539.2	16.220	2.060	2.493	1.69e-51
AC009005.2	ENSG00000267751.5	2.290	0.530	1.105	6.56e-31
AC009014.3	ENSG00000271824.1	0.415	1.960	-1.065	2.63e-16
AC009065.4	ENSG00000279473.1	4.260	0.000	2.395	1.94e-103
AC009506.1	ENSG00000224152.1	5.575	2.070	1.099	4.20e-81
AC010649.1	ENSG00000267448.5	0.000	10.640	-3.541	6.00e-28
AC010980.2	ENSG00000237732.9	0.580	3.800	-1.603	2.15e-43
AC011322.1	ENSG00000233487.6	0.090	3.510	-2.049	1.03e-70
AC011516.2	ENSG00000268038.1	0.225	5.370	-2.379	2.08e-104
AC011558.5	ENSG00000279753.1	3.490	0.880	1.256	2.38e-13
AC011737.2	ENSG00000204196.5	13.760	3.330	1.769	5.74e-78
AC015936.3	ENSG00000224911.1	9.590	1.300	2.203	1.58e-29
AC016292.3	ENSG00000108958.4	2.190	0.210	1.399	1.23e-66
AC016629.7	ENSG00000269032.1	1.320	0.000	1.214	9.14e-10
AC016700.5	ENSG00000231327.1	5.030	1.360	1.353	1.25e-58
AC016739.2	ENSG00000218175.2	12.660	3.300	1.668	8.38e-30
AC016757.3	ENSG00000186235.10	1.135	4.340	-1.323	1.06e-26
AC018738.2	ENSG00000237039.1	1.670	0.000	1.417	1.24e-17
AC021188.4	ENSG00000230747.1	3.130	0.490	1.471	2.22e-66
AC034228.3	ENSG00000223548.1	2.690	0.650	1.161	1.79e-48
AC053503.11	ENSG00000227432.1	4.145	0.140	2.174	3.23e-29
AC058791.1	ENSG00000226380.7	0.290	2.700	-1.520	3.90e-74
