Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
A2M	ENSG00000175899.14	81.951	1715.959	-4.371	1.48e-221
A2ML1	ENSG00000166535.19	5.610	0.110	2.574	3.04e-65
AADACP1	ENSG00000240602.7	2.100	0.220	1.345	8.15e-41
AASS	ENSG00000008311.14	4.605	19.535	-1.873	6.28e-65
AATK	ENSG00000181409.11	0.995	15.225	-3.024	1.39e-227
ABC7-42404400C24.1	ENSG00000277758.4	0.270	6.640	-2.589	1.36e-131
ABCA10	ENSG00000154263.17	0.445	5.825	-2.240	1.09e-108
ABCA12	ENSG00000144452.14	1.930	0.010	1.537	2.69e-89
ABCA13	ENSG00000179869.14	6.410	0.555	2.253	7.67e-46
ABCA3	ENSG00000167972.13	6.840	136.210	-4.129	7.00e-90
ABCA6	ENSG00000154262.12	1.170	15.875	-2.959	1.97e-174
ABCA7	ENSG00000064687.12	8.340	29.294	-1.698	9.95e-65
ABCA8	ENSG00000141338.13	0.580	27.625	-4.179	1.32e-274
ABCA9	ENSG00000154258.16	0.340	7.580	-2.679	1.44e-173
ABCB1	ENSG00000085563.14	0.830	3.550	-1.314	2.81e-98
ABCC1	ENSG00000103222.18	41.671	18.640	1.119	2.14e-35
ABCC3	ENSG00000108846.15	10.810	25.085	-1.143	1.81e-13
ABCC5	ENSG00000114770.16	68.154	14.885	2.122	6.27e-71
ABCC6	ENSG00000091262.14	1.705	11.180	-2.171	7.99e-103
ABCC6P1	ENSG00000256340.8	0.390	2.370	-1.278	2.17e-84
ABCC8	ENSG00000006071.11	0.150	8.310	-3.017	2.95e-83
ABCC9	ENSG00000069431.10	1.100	5.335	-1.593	1.26e-102
ABCD4	ENSG00000119688.20	22.560	47.831	-1.051	3.81e-55
ABI3	ENSG00000108798.8	6.675	18.260	-1.327	1.17e-69
ABI3BP	ENSG00000154175.16	4.930	81.145	-3.792	5.46e-185
ABLIM2	ENSG00000163995.18	1.865	5.745	-1.235	1.60e-37
ABLIM3	ENSG00000173210.19	2.050	26.635	-3.180	3.29e-188
ABR	ENSG00000159842.14	23.185	83.505	-1.805	3.75e-110
ABRACL	ENSG00000146386.7	92.065	28.521	1.657	3.11e-115
ABTB1	ENSG00000114626.17	15.250	62.904	-1.975	1.87e-109
AC000123.3	ENSG00000279265.1	1.455	6.140	-1.540	9.83e-85
AC000123.4	ENSG00000224138.1	0.740	3.575	-1.395	2.11e-91
AC002116.8	ENSG00000248101.2	0.620	2.465	-1.097	4.88e-26
AC002398.12	ENSG00000267328.1	0.180	3.885	-2.050	1.05e-117
AC004540.4	ENSG00000225792.1	0.350	4.320	-1.979	3.99e-118
AC004540.5	ENSG00000214870.8	0.620	2.890	-1.264	1.73e-83
AC004623.3	ENSG00000279488.1	0.380	2.210	-1.218	1.94e-73
AC004967.7	ENSG00000243554.1	2.295	0.635	1.011	1.46e-85
AC005104.3	ENSG00000223374.1	0.955	5.230	-1.672	3.79e-75
AC005154.6	ENSG00000196295.11	16.740	67.069	-1.940	3.80e-81
AC005154.7	ENSG00000244480.1	0.280	2.805	-1.572	1.15e-130
AC005253.2	ENSG00000268030.1	1.370	5.205	-1.389	2.02e-53
