Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
AADAC	ENSG00000114771.13	1.550	0.100	1.213	9.23e-23
AADAT	ENSG00000109576.13	1.770	4.695	-1.040	2.14e-18
AAK1	ENSG00000115977.18	22.740	5.300	1.914	4.80e-53
AARD	ENSG00000205002.3	1.380	0.050	1.181	6.69e-24
AARSD1	ENSG00000266967.6	14.945	63.979	-2.027	5.97e-101
AASDH	ENSG00000157426.13	3.000	7.065	-1.012	6.22e-31
AASS	ENSG00000008311.14	0.870	60.896	-5.049	2.63e-196
AB019441.29	ENSG00000225200.2	1.145	3.465	-1.058	8.58e-30
ABCA10	ENSG00000154263.17	0.200	52.075	-5.467	6.12e-282
ABCA5	ENSG00000154265.15	1.890	18.370	-2.745	1.08e-120
ABCA6	ENSG00000154262.12	0.330	46.106	-5.146	5.42e-228
ABCA8	ENSG00000141338.13	0.350	76.968	-5.852	1.13e-253
ABCA9	ENSG00000154258.16	0.170	29.765	-4.717	1.96e-272
ABCB1	ENSG00000085563.14	0.545	4.175	-1.744	5.33e-97
ABCB6	ENSG00000115657.12	12.570	56.960	-2.095	1.34e-65
ABCC10	ENSG00000124574.14	8.605	25.370	-1.457	1.08e-46
ABCC5	ENSG00000114770.16	10.465	24.195	-1.136	2.26e-28
ABCC8	ENSG00000006071.11	0.040	1.195	-1.078	3.69e-70
ABCC9	ENSG00000069431.10	0.560	6.165	-2.199	1.13e-60
ABCD4	ENSG00000119688.20	21.990	82.712	-1.864	2.20e-62
ABCG2	ENSG00000118777.10	0.580	3.505	-1.512	1.44e-87
ABHD11	ENSG00000106077.18	91.470	8.135	3.340	2.07e-107
ABHD11-AS1	ENSG00000225969.1	2.340	0.000	1.740	2.89e-22
ABHD17C	ENSG00000136379.11	12.925	1.725	2.353	7.00e-69
ABHD3	ENSG00000158201.9	5.335	12.730	-1.116	3.47e-14
ABI3BP	ENSG00000154175.16	2.715	54.388	-3.898	1.19e-73
ABL1	ENSG00000097007.17	16.735	51.529	-1.567	3.81e-36
ABLIM1	ENSG00000099204.18	26.975	136.911	-2.302	7.52e-45
ABLIM3	ENSG00000173210.19	0.720	2.740	-1.121	1.79e-39
ABO	ENSG00000175164.13	2.225	23.430	-2.921	9.10e-59
ABR	ENSG00000159842.14	9.990	37.635	-1.814	5.04e-41
ABRACL	ENSG00000146386.7	37.724	3.245	3.189	3.34e-98
ABTB1	ENSG00000114626.17	16.220	66.406	-1.969	4.41e-56
AC000032.2	ENSG00000260246.1	0.300	1.718	-1.064	2.75e-26
AC000078.5	ENSG00000232926.1	0.115	2.285	-1.559	1.29e-137
AC000123.3	ENSG00000279265.1	0.580	3.125	-1.384	3.59e-87
AC000123.4	ENSG00000224138.1	0.315	1.700	-1.038	1.70e-77
AC002398.12	ENSG00000267328.1	0.710	14.830	-3.211	3.99e-66
AC003090.1	ENSG00000223561.6	0.030	2.280	-1.671	3.68e-108
AC004057.1	ENSG00000196656.7	2924.754	1082.686	1.433	2.05e-24
AC004538.3	ENSG00000230333.6	0.300	1.954	-1.184	1.25e-36
AC004540.4	ENSG00000225792.1	1.860	0.285	1.154	2.13e-12
AC004540.5	ENSG00000214870.8	3.705	0.835	1.359	5.17e-22
AC004623.3	ENSG00000279488.1	0.285	4.515	-2.102	1.05e-130
AC004870.4	ENSG00000223829.5	1.500	0.000	1.322	1.61e-25
AC004893.11	ENSG00000242687.2	1.675	6.200	-1.428	3.75e-52
AC005083.1	ENSG00000233834.6	4.465	0.060	2.366	1.19e-47
AC005104.3	ENSG00000223374.1	0.425	6.010	-2.298	1.20e-131
AC005154.6	ENSG00000196295.11	10.455	52.250	-2.217	7.22e-81
AC005154.7	ENSG00000244480.1	0.200	3.315	-1.846	4.12e-163
AC005253.2	ENSG00000268030.1	0.930	5.470	-1.745	1.80e-87
AC005306.3	ENSG00000267283.1	0.140	1.830	-1.312	3.89e-64
AC005339.2	ENSG00000268565.1	0.375	2.260	-1.246	2.33e-3
AC005363.9	ENSG00000255513.1	0.000	1.610	-1.384	4.62e-19
AC005517.3	ENSG00000223878.1	0.305	4.664	-2.118	2.26e-106
AC005519.4	ENSG00000258559.2	0.950	9.595	-2.442	5.97e-94
AC005537.2	ENSG00000232006.8	2.235	0.070	1.596	7.76e-28
AC005538.3	ENSG00000279809.1	1.645	0.140	1.214	5.06e-15
AC005682.5	ENSG00000228649.8	0.680	3.670	-1.475	3.45e-51
AC005786.7	ENSG00000267436.1	0.000	3.425	-2.146	1.72e-36
AC005943.2	ENSG00000267059.2	6.885	0.000	2.979	2.24e-30
AC005944.2	ENSG00000267469.1	11.975	26.853	-1.102	9.07e-11
AC006011.4	ENSG00000244563.1	17.145	5.440	1.495	5.19e-50
AC006116.24	ENSG00000267776.1	0.310	2.150	-1.266	6.24e-53
AC006116.27	ENSG00000267459.1	0.440	3.230	-1.554	5.85e-30
AC006128.2	ENSG00000279716.1	5.600	14.205	-1.204	1.16e-16
AC006273.5	ENSG00000267530.2	2.035	0.260	1.268	8.11e-30
AC006449.2	ENSG00000279119.1	0.135	41.214	-5.217	1.97e-94
AC006942.4	ENSG00000269194.1	0.960	7.545	-2.124	9.59e-100
AC006946.16	ENSG00000273203.1	0.170	3.450	-1.927	2.00e-90
AC006946.17	ENSG00000273442.1	0.060	2.260	-1.621	7.68e-105
AC006978.6	ENSG00000235859.5	2.180	7.025	-1.335	8.00e-48
AC007009.1	ENSG00000244239.1	6.155	0.150	2.637	2.50e-56
AC007038.7	ENSG00000229127.1	0.230	1.725	-1.148	1.42e-99
AC007193.10	ENSG00000269124.1	0.230	1.650	-1.107	1.59e-21
AC007246.3	ENSG00000231312.6	4.840	14.325	-1.392	2.07e-61
AC007292.6	ENSG00000267980.1	0.895	4.600	-1.563	7.91e-70
