Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
A2M	ENSG00000175899.14	183.787	28.300	2.657	1.29e-49
A4GALT	ENSG00000128274.15	17.140	2.200	2.503	2.69e-48
AACS	ENSG00000081760.16	15.640	6.740	1.104	5.73e-40
AADAC	ENSG00000114771.13	4.320	10.680	-1.135	4.16e-8
AAED1	ENSG00000158122.11	7.500	2.080	1.465	6.02e-57
AAGAB	ENSG00000103591.12	24.920	7.610	1.590	1.64e-66
AAMDC	ENSG00000087884.14	42.739	12.780	1.666	3.29e-55
AAMP	ENSG00000127837.9	105.917	34.951	1.572	8.52e-50
AAR2	ENSG00000131043.11	23.610	6.820	1.654	2.60e-67
AASS	ENSG00000008311.14	2.850	9.270	-1.415	2.35e-27
AATF	ENSG00000275700.4	38.239	14.080	1.380	1.24e-42
ABAT	ENSG00000183044.11	6.340	16.710	-1.271	8.49e-11
ABC7-42404400C24.1	ENSG00000277758.4	0.170	1.490	-1.090	2.06e-37
ABCA1	ENSG00000165029.15	4.220	1.430	1.103	2.87e-27
ABCA2	ENSG00000107331.16	27.500	11.580	1.180	2.37e-27
ABCA5	ENSG00000154265.15	7.370	22.880	-1.512	6.06e-30
ABCB1	ENSG00000085563.14	6.290	1.130	1.775	1.26e-36
ABCB10	ENSG00000135776.4	6.340	2.460	1.085	2.56e-41
ABCB4	ENSG00000005471.15	1.210	0.050	1.074	1.88e-41
ABCB6	ENSG00000115657.12	15.620	5.350	1.388	1.52e-40
ABCB7	ENSG00000131269.15	9.760	4.320	1.016	5.88e-41
ABCB8	ENSG00000197150.12	18.840	7.230	1.269	1.99e-44
ABCB9	ENSG00000150967.17	4.540	1.260	1.294	6.21e-49
ABCC1	ENSG00000103222.18	14.650	3.980	1.652	6.48e-49
ABCC4	ENSG00000125257.13	2.980	0.760	1.177	7.88e-42
ABCC5	ENSG00000114770.16	10.890	4.720	1.056	9.94e-25
ABCC6	ENSG00000091262.14	3.270	7.650	-1.018	3.81e-22
ABCD4	ENSG00000119688.20	36.839	16.999	1.072	1.30e-23
ABCF1	ENSG00000204574.12	32.599	13.650	1.198	1.10e-41
ABCF2	ENSG00000033050.7	20.201	6.500	1.499	1.48e-56
ABCG1	ENSG00000160179.18	16.660	1.210	2.998	1.62e-80
ABHD11-AS1	ENSG00000225969.1	10.200	1.070	2.436	2.17e-33
ABHD13	ENSG00000139826.5	4.950	1.420	1.298	1.52e-65
ABHD14A	ENSG00000248487.8	20.100	8.290	1.184	2.94e-34
ABHD14B	ENSG00000114779.19	54.761	26.339	1.028	2.74e-29
ABHD15	ENSG00000168792.4	8.360	2.950	1.245	9.53e-45
ABHD16A	ENSG00000204427.11	41.020	16.420	1.270	6.99e-38
ABHD17A	ENSG00000129968.15	39.461	18.880	1.025	2.41e-13
ABHD17B	ENSG00000107362.13	6.620	2.220	1.243	2.43e-48
ABHD17C	ENSG00000136379.11	35.111	2.480	3.375	1.60e-71
ABHD2	ENSG00000140526.16	47.500	13.680	1.724	2.99e-39
ABHD3	ENSG00000158201.9	17.019	5.200	1.539	4.32e-42
ABHD4	ENSG00000100439.10	22.221	6.380	1.654	7.95e-56
ABHD6	ENSG00000163686.13	4.420	0.990	1.446	4.59e-57
ABI1	ENSG00000136754.16	28.541	7.010	1.883	2.75e-59
ABI2	ENSG00000138443.15	15.470	3.100	2.006	1.72e-67
ABI3	ENSG00000108798.8	10.110	1.390	2.217	9.44e-48
ABI3BP	ENSG00000154175.16	12.850	2.500	1.984	1.00e-32
ABL1	ENSG00000097007.17	23.620	8.120	1.433	7.03e-40
ABL2	ENSG00000143322.19	4.800	1.620	1.146	5.67e-43
ABLIM1	ENSG00000099204.18	31.600	8.390	1.796	1.26e-43
ABLIM2	ENSG00000163995.18	8.280	2.010	1.624	2.67e-34
ABLIM3	ENSG00000173210.19	15.770	1.150	2.963	1.13e-67
ABR	ENSG00000159842.14	41.920	9.110	2.086	1.12e-59
ABRACL	ENSG00000146386.7	45.351	5.660	2.799	2.22e-64
ABT1	ENSG00000146109.4	10.850	3.580	1.371	1.53e-65
ABTB1	ENSG00000114626.17	32.110	12.620	1.282	8.50e-24
ABTB2	ENSG00000166016.5	4.570	0.800	1.630	4.65e-46
AC000089.3	ENSG00000235776.2	2.440	0.340	1.360	2.59e-73
AC000111.4	ENSG00000237974.1	0.000	1.180	-1.124	6.77e-18
AC002398.12	ENSG00000267328.1	3.360	0.550	1.492	1.50e-17
AC002398.9	ENSG00000188223.9	6.050	1.620	1.428	1.47e-52
AC002467.7	ENSG00000241764.3	2.930	0.900	1.049	8.15e-48
AC005152.3	ENSG00000228639.6	0.320	4.910	-2.163	7.49e-43
AC005255.3	ENSG00000256210.3	5.780	0.000	2.761	5.06e-70
AC005339.2	ENSG00000268565.1	5.630	0.470	2.173	2.20e-51
AC005355.2	ENSG00000251169.2	2.540	0.210	1.549	9.85e-54
AC005562.1	ENSG00000214719.11	3.900	1.380	1.042	3.74e-54
AC005786.7	ENSG00000267436.1	8.190	0.260	2.867	3.14e-30
AC005943.2	ENSG00000267059.2	4.190	0.000	2.376	7.62e-23
AC005943.6	ENSG00000279009.1	5.180	0.000	2.628	4.28e-15
AC005944.2	ENSG00000267469.1	19.401	2.320	2.619	3.84e-40
AC006011.4	ENSG00000244563.1	8.350	2.310	1.498	3.07e-30
AC007192.6	ENSG00000269145.2	6.750	2.470	1.159	1.62e-15
AC007229.3	ENSG00000267544.1	1.680	0.180	1.183	1.19e-60
AC007283.5	ENSG00000234431.2	5.520	0.000	2.705	2.31e-68
AC007318.5	ENSG00000172974.11	8.610	2.540	1.441	1.45e-53
AC007349.4	ENSG00000229424.1	0.000	1.380	-1.251	2.61e-50
AC007383.3	ENSG00000227946.1	5.550	1.430	1.431	3.40e-54
AC007620.3	ENSG00000242539.2	4.560	0.480	1.910	2.92e-44
AC009005.2	ENSG00000267751.5	1.960	0.310	1.176	2.84e-37
AC009014.3	ENSG00000271824.1	1.280	0.120	1.026	2.61e-17
AC009065.4	ENSG00000279473.1	3.660	0.000	2.220	4.00e-86
AC009133.21	ENSG00000275857.1	1.700	0.300	1.054	6.70e-23
AC009133.22	ENSG00000277669.1	0.000	1.190	-1.131	1.16e-25
AC011298.2	ENSG00000219159.4	0.160	15.390	-3.821	3.55e-88
AC011558.5	ENSG00000279753.1	104.270	13.790	2.831	1.86e-34
AC016629.7	ENSG00000269032.1	1.200	0.000	1.137	3.66e-8
AC016735.2	ENSG00000231826.5	1.910	0.060	1.457	6.01e-20
AC016739.2	ENSG00000218175.2	17.450	5.660	1.470	3.60e-27
AC016747.3	ENSG00000212978.6	4.780	1.260	1.355	5.45e-45
AC018816.3	ENSG00000235978.6	2.290	0.160	1.504	4.67e-51
AC019117.2	ENSG00000236039.1	2.550	0.520	1.224	6.95e-19
AC021066.1	ENSG00000281415.1	129.480	6.070	4.206	6.79e-18
AC021218.2	ENSG00000204876.4	1.740	0.000	1.454	1.65e-28
AC025811.3	ENSG00000270947.1	0.000	1.240	-1.163	1.09e-51
AC027612.6	ENSG00000143429.9	18.560	4.040	1.956	1.70e-54
AC068831.17	ENSG00000275929.1	0.000	1.590	-1.373	7.08e-63
AC073842.19	ENSG00000235077.1	0.000	1.080	-1.057	7.60e-34
AC074212.6	ENSG00000267395.5	0.880	3.230	-1.170	1.23e-42
AC078941.1	ENSG00000236780.5	0.930	22.950	-3.633	4.68e-62
AC079767.4	ENSG00000224137.1	1.350	0.000	1.233	3.06e-23
AC092580.4	ENSG00000235576.1	2.900	0.000	1.964	3.65e-32
AC093323.3	ENSG00000170846.15	8.220	2.240	1.509	5.87e-52
AC093642.1	ENSG00000280119.1	0.070	2.050	-1.511	1.20e-54
AC093642.3	ENSG00000237940.3	0.730	12.440	-2.958	1.85e-64
AC093673.5	ENSG00000232533.1	11.830	1.030	2.660	2.43e-73
AC093850.2	ENSG00000230838.1	5.160	0.000	2.623	1.20e-47
AC098614.2	ENSG00000213846.4	2.220	0.210	1.412	2.18e-57
