Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
A1BG	ENSG00000121410.11	5.040	16.200	-1.510	8.41e-30
A1BG-AS1	ENSG00000268895.5	1.050	3.295	-1.067	4.40e-38
A4GALT	ENSG00000128274.15	13.950	31.394	-1.116	1.12e-42
AASS	ENSG00000008311.14	4.825	14.975	-1.456	1.25e-23
AATK	ENSG00000181409.11	1.180	5.140	-1.494	1.67e-33
ABCA10	ENSG00000154263.17	0.450	3.085	-1.494	1.22e-62
ABCA6	ENSG00000154262.12	0.510	2.895	-1.367	6.75e-53
ABCA7	ENSG00000064687.12	4.945	12.350	-1.167	8.06e-33
ABCA8	ENSG00000141338.13	2.655	9.877	-1.573	3.88e-24
ABCA9	ENSG00000154258.16	0.260	1.715	-1.108	3.73e-47
ABCC10	ENSG00000124574.14	8.735	20.654	-1.153	3.85e-47
ABCC3	ENSG00000108846.15	3.285	25.080	-2.606	1.14e-47
ABCC4	ENSG00000125257.13	115.076	16.260	2.750	1.77e-62
ABHD2	ENSG00000140526.16	66.244	20.875	1.620	9.86e-35
ABO	ENSG00000175164.13	0.540	3.835	-1.651	2.31e-27
ABTB1	ENSG00000114626.17	19.600	44.304	-1.137	1.70e-47
AC000089.3	ENSG00000235776.2	4.700	0.790	1.671	5.44e-65
AC002116.8	ENSG00000248101.2	0.480	2.890	-1.394	3.24e-41
AC002398.12	ENSG00000267328.1	2.620	7.889	-1.296	6.01e-10
AC003090.1	ENSG00000223561.6	0.570	2.165	-1.011	2.22e-26
AC003973.3	ENSG00000279377.1	0.140	1.470	-1.115	1.09e-44
AC003991.3	ENSG00000228113.7	2.790	0.775	1.094	2.73e-6
AC004540.5	ENSG00000214870.8	3.315	1.125	1.022	1.89e-24
AC004854.4	ENSG00000234183.1	1.045	0.000	1.032	3.01e-6
AC005042.4	ENSG00000204380.4	0.310	1.655	-1.019	1.99e-45
AC005104.3	ENSG00000223374.1	0.500	3.260	-1.506	6.98e-46
AC005154.6	ENSG00000196295.11	13.280	44.983	-1.687	2.81e-33
AC005154.7	ENSG00000244480.1	0.440	2.110	-1.111	2.15e-44
AC005253.2	ENSG00000268030.1	0.710	3.654	-1.445	5.34e-47
AC005255.3	ENSG00000256210.3	3.720	0.000	2.239	1.32e-31
AC005336.5	ENSG00000267218.2	0.805	5.294	-1.802	9.97e-5
AC005517.3	ENSG00000223878.1	0.520	2.760	-1.307	2.95e-31
AC005519.4	ENSG00000258559.2	0.360	3.400	-1.694	2.64e-58
AC005538.3	ENSG00000279809.1	2.510	0.700	1.046	9.53e-25
AC005943.2	ENSG00000267059.2	7.995	0.130	2.993	4.42e-19
AC006128.2	ENSG00000279716.1	2.060	18.758	-2.691	9.17e-47
AC007009.1	ENSG00000244239.1	31.364	10.150	1.537	9.46e-44
AC007326.1	ENSG00000279560.1	0.860	4.275	-1.504	1.75e-31
AC007566.10	ENSG00000244055.1	0.785	3.315	-1.273	1.17e-43
AC008746.12	ENSG00000267838.2	1.190	3.655	-1.088	4.77e-28
AC009065.4	ENSG00000279473.1	4.600	0.000	2.485	3.83e-33
AC009120.6	ENSG00000259972.2	4.185	19.295	-1.969	1.99e-45
AC009133.21	ENSG00000275857.1	0.775	3.030	-1.183	6.32e-14
AC009948.5	ENSG00000223960.6	3.080	8.030	-1.146	5.72e-31
AC010761.9	ENSG00000265474.1	0.790	2.730	-1.059	2.20e-22
AC010976.2	ENSG00000231731.7	0.490	2.665	-1.298	6.23e-44
AC011290.5	ENSG00000236015.1	0.520	2.710	-1.287	2.45e-38
AC011558.5	ENSG00000279753.1	22.770	62.407	-1.415	4.24e-24
AC018462.3	ENSG00000242735.1	0.000	1.125	-1.087	6.27e-30
AC018766.4	ENSG00000267896.1	4.770	12.795	-1.257	1.44e-31
AC024560.3	ENSG00000214135.8	5.315	19.358	-1.689	1.55e-42
AC024937.6	ENSG00000231443.2	0.450	2.105	-1.098	1.45e-34
AC025165.8	ENSG00000224713.4	0.150	3.450	-1.952	9.09e-72
AC053503.12	ENSG00000280323.1	0.435	2.685	-1.361	2.18e-43
AC053503.6	ENSG00000234638.1	0.000	1.545	-1.348	3.04e-48
AC069213.1	ENSG00000224769.1	0.960	3.265	-1.122	3.78e-30
AC074289.1	ENSG00000225889.7	0.725	3.750	-1.461	6.42e-35
AC083843.1	ENSG00000259820.1	0.830	2.685	-1.010	5.52e-23
AC093110.3	ENSG00000238018.2	0.360	2.915	-1.525	2.04e-46
AC093495.4	ENSG00000228242.6	1.540	9.910	-2.103	7.36e-52
AC093642.3	ENSG00000237940.3	2.510	11.305	-1.810	1.30e-27
AC093838.4	ENSG00000152117.17	6.085	19.700	-1.547	1.45e-45
AC104667.3	ENSG00000234949.2	2.480	0.220	1.512	6.86e-54
AC108488.4	ENSG00000242282.6	2.655	8.155	-1.325	1.11e-57
AC113188.2	ENSG00000279535.1	1.470	4.145	-1.059	1.12e-31
AC114730.11	ENSG00000235351.1	0.510	4.015	-1.732	5.77e-50
AC116366.6	ENSG00000234290.2	0.380	1.980	-1.111	9.66e-47
AC131097.4	ENSG00000216921.7	1.160	3.425	-1.035	2.05e-10
AC132217.4	ENSG00000240801.1	4.725	18.520	-1.770	6.15e-33
AC138035.2	ENSG00000238035.8	1.960	11.579	-2.087	5.07e-33
AC144450.1	ENSG00000228613.1	1.245	0.115	1.010	1.10e-35
AC144530.1	ENSG00000234742.1	2.605	0.555	1.213	1.76e-32
AC156455.1	ENSG00000256546.1	0.920	3.370	-1.187	4.15e-64
AC159540.1	ENSG00000230606.10	11.335	32.309	-1.433	6.39e-14
AC239868.2	ENSG00000280874.1	152.921	50.436	1.581	8.13e-22
AC239868.3	ENSG00000281134.1	149.577	50.436	1.550	6.32e-20
ACACA	ENSG00000278540.4	66.641	32.209	1.026	9.35e-41
ACACB	ENSG00000076555.15	3.470	16.149	-1.940	7.66e-59
ACAD11	ENSG00000240303.7	6.860	25.709	-1.765	8.65e-47
ACADVL	ENSG00000072778.19	270.671	809.029	-1.576	7.73e-51
ACAP3	ENSG00000131584.18	11.300	54.955	-2.186	9.23e-55
ACCS	ENSG00000110455.13	12.135	28.140	-1.150	2.83e-20
ACHE	ENSG00000087085.13	2.665	6.379	-1.010	6.04e-13
ACIN1	ENSG00000100813.14	53.530	124.124	-1.198	5.94e-35
ACKR3	ENSG00000144476.5	4.255	12.765	-1.389	2.88e-26
ACLY	ENSG00000131473.16	104.803	39.539	1.384	9.26e-45
ACOT11	ENSG00000162390.17	1.020	3.765	-1.238	1.02e-48
ACOX2	ENSG00000168306.12	4.255	24.709	-2.291	3.01e-69
ACSF2	ENSG00000167107.12	10.075	57.110	-2.391	9.82e-64
ACSL3	ENSG00000123983.13	138.246	49.545	1.462	1.67e-32
ACSM1	ENSG00000166743.9	35.330	3.085	3.153	3.03e-34
ACSM3	ENSG00000005187.11	49.571	24.045	1.014	9.33e-17
ACSS3	ENSG00000111058.7	1.980	5.685	-1.166	4.81e-28
ACTA1	ENSG00000143632.14	0.575	5.770	-2.104	2.24e-8
ACTA2	ENSG00000107796.12	849.664	1813.737	-1.093	5.36e-12
ACTA2-AS1	ENSG00000180139.11	2.225	41.336	-3.715	4.56e-74
ACTC1	ENSG00000159251.6	4.125	15.980	-1.728	8.57e-12
ACTG2	ENSG00000163017.13	644.371	1707.890	-1.405	1.23e-11
ACVRL1	ENSG00000139567.12	4.725	15.320	-1.511	2.12e-44
ADA	ENSG00000196839.12	1.750	4.710	-1.054	2.00e-47
ADAM10	ENSG00000137845.14	37.919	18.050	1.031	6.10e-13
ADAM19	ENSG00000135074.15	1.170	4.105	-1.234	3.13e-36
ADAM28	ENSG00000042980.12	1.995	5.960	-1.217	8.17e-17
ADAM33	ENSG00000149451.17	2.985	85.381	-4.438	2.82e-82
ADAMTS1	ENSG00000154734.14	16.050	46.985	-1.493	3.63e-16
ADAMTS10	ENSG00000142303.13	2.480	22.685	-2.767	9.66e-64
ADAMTS2	ENSG00000087116.13	2.115	5.615	-1.087	7.40e-16
ADAMTS4	ENSG00000158859.9	1.055	4.630	-1.454	1.07e-14
ADAMTS8	ENSG00000134917.9	1.790	4.750	-1.043	3.21e-29
ADAMTS9	ENSG00000163638.13	3.170	11.820	-1.620	3.91e-35
ADAMTS9-AS1	ENSG00000241158.5	1.655	13.409	-2.440	7.77e-53
ADAMTS9-AS2	ENSG00000241684.5	0.640	3.710	-1.522	5.14e-68
ADAMTSL4	ENSG00000143382.13	1.740	10.514	-2.071	2.71e-61
ADAMTSL5	ENSG00000185761.10	0.850	3.380	-1.243	7.57e-53
ADAT2	ENSG00000189007.15	2.655	6.325	-1.003	1.39e-17
ADCY10P1	ENSG00000161912.17	1.050	3.190	-1.031	2.86e-29
ADCY3	ENSG00000138031.14	12.110	41.620	-1.701	3.91e-48
ADCY4	ENSG00000129467.13	3.355	30.219	-2.842	7.36e-58
ADCY5	ENSG00000173175.14	4.875	18.964	-1.765	8.77e-33
ADD3	ENSG00000148700.13	13.845	30.070	-1.066	1.30e-14
ADGRA2	ENSG00000020181.17	16.410	43.705	-1.361	8.32e-17
ADGRB1	ENSG00000181790.10	0.390	1.985	-1.103	1.06e-30
ADGRB2	ENSG00000121753.12	1.580	4.190	-1.008	1.33e-31
ADGRD1	ENSG00000111452.12	1.475	8.110	-1.880	4.15e-42
ADH1B	ENSG00000196616.12	0.995	7.710	-2.126	1.22e-49
ADHFE1	ENSG00000147576.15	11.970	32.594	-1.373	2.28e-30
ADIRF-AS1	ENSG00000272734.1	1.690	14.329	-2.511	1.98e-69
ADM2	ENSG00000128165.8	9.225	2.820	1.420	3.14e-48
ADM5	ENSG00000224420.3	0.710	2.670	-1.102	1.65e-38
ADPRHL1	ENSG00000153531.12	5.180	1.555	1.274	4.79e-30
ADRA1A	ENSG00000120907.17	0.975	3.715	-1.255	1.49e-20
ADRA1D	ENSG00000171873.7	0.470	2.405	-1.212	1.04e-26
ADRA2C	ENSG00000184160.7	2.905	10.040	-1.499	1.54e-29
ADRB1	ENSG00000043591.5	12.565	4.055	1.424	1.65e-40
ADRB2	ENSG00000169252.5	8.740	3.240	1.200	1.75e-31
AEBP1	ENSG00000106624.8	77.058	179.103	-1.206	5.84e-15
AF001548.3	ENSG00000280429.1	0.050	1.185	-1.057	3.25e-67
AF011889.2	ENSG00000238039.1	0.650	3.174	-1.339	1.99e-33
AF131217.1	ENSG00000232855.6	0.955	2.930	-1.007	5.26e-15
AFAP1L2	ENSG00000169129.14	4.520	13.850	-1.428	7.48e-38
AFG3L1P	ENSG00000223959.8	5.540	22.330	-1.835	4.54e-55
AGA	ENSG00000038002.8	18.790	8.665	1.034	2.54e-33
AGAP11	ENSG00000271880.1	0.810	5.810	-1.912	8.17e-54
AGAP4	ENSG00000188234.13	7.125	18.665	-1.275	5.42e-24
AGAP5	ENSG00000172650.12	1.970	6.865	-1.405	3.41e-37
AGAP6	ENSG00000204149.9	5.330	25.069	-2.042	2.15e-42
AGAP9	ENSG00000204172.11	3.175	11.349	-1.565	6.99e-34
AGER	ENSG00000204305.13	2.150	14.138	-2.265	8.10e-64
AGPAT4	ENSG00000026652.13	0.740	2.800	-1.127	1.61e-58
AGR2	ENSG00000106541.11	378.840	85.505	2.135	5.66e-23
AGR3	ENSG00000173467.8	5.555	1.060	1.670	5.56e-14
AHDC1	ENSG00000126705.13	4.165	11.265	-1.248	1.26e-42
AHI1	ENSG00000135541.20	9.770	20.642	-1.007	6.79e-36
AHNAK2	ENSG00000185567.6	4.585	14.525	-1.475	7.78e-22
AHSA2	ENSG00000173209.22	17.525	89.728	-2.292	4.53e-42
AIFM2	ENSG00000042286.14	3.690	9.850	-1.210	6.01e-62
AIM1	ENSG00000112297.14	28.894	13.365	1.057	2.79e-32
AJUBA	ENSG00000129474.15	3.740	9.995	-1.214	7.61e-28
AKAP12	ENSG00000131016.16	6.780	18.670	-1.338	1.54e-18
AKAP17A	ENSG00000197976.10	20.140	54.294	-1.387	1.46e-39
AKAP8L	ENSG00000011243.17	37.050	117.943	-1.644	4.82e-54
AKR1B1	ENSG00000085662.13	18.180	42.956	-1.196	4.80e-35
AKR1C1	ENSG00000187134.12	3.430	12.465	-1.604	8.85e-30
AKR1C2	ENSG00000151632.16	1.710	6.899	-1.543	1.32e-30
AL158801.1	ENSG00000279392.1	3.455	0.460	1.609	1.38e-41
AL162151.3	ENSG00000234648.1	1417.467	298.657	2.243	5.40e-3
ALCAM	ENSG00000170017.12	52.965	24.840	1.062	5.47e-33
ALDH1A2	ENSG00000128918.14	7.930	26.930	-1.645	1.05e-27
ALDH1A3	ENSG00000184254.16	222.582	95.849	1.207	5.42e-31
ALDH3B2	ENSG00000132746.14	11.345	2.610	1.774	1.39e-21
ALDH6A1	ENSG00000119711.12	29.280	13.699	1.043	1.76e-33
ALG14	ENSG00000172339.9	5.390	2.145	1.023	2.08e-33
ALOX12P2	ENSG00000262943.7	0.765	5.365	-1.850	2.18e-32
ALPK1	ENSG00000073331.17	3.170	8.575	-1.199	4.96e-38
ALS2CL	ENSG00000178038.16	1.895	12.729	-2.246	4.52e-69
AMACR	ENSG00000242110.7	226.104	7.820	4.686	1.53e-74
AMIGO2	ENSG00000139211.6	3.435	8.079	-1.034	8.03e-19
AMPD2	ENSG00000116337.15	20.685	49.468	-1.219	9.91e-38
AMT	ENSG00000145020.14	8.985	41.220	-2.080	4.95e-63
AMY2B	ENSG00000240038.6	3.360	30.194	-2.839	7.06e-54
ANAPC4	ENSG00000053900.10	9.005	24.260	-1.336	1.20e-57
ANGPT1	ENSG00000154188.9	2.510	7.010	-1.190	1.59e-17
ANGPTL1	ENSG00000116194.12	1.215	4.715	-1.367	4.99e-25
ANGPTL4	ENSG00000167772.11	5.840	15.690	-1.287	1.87e-14
ANK2	ENSG00000145362.16	1.865	5.230	-1.121	1.63e-24
ANKDD1A	ENSG00000166839.16	1.560	6.320	-1.516	7.18e-62
ANKRD10	ENSG00000088448.14	54.445	120.145	-1.128	2.98e-25
ANKRD10-IT1	ENSG00000229152.2	3.995	11.224	-1.291	1.66e-11
ANKRD13D	ENSG00000172932.14	21.370	59.703	-1.440	7.30e-50
