Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
A1CF	ENSG00000148584.14	5.170	0.250	2.303	1.15e-10
A2M	ENSG00000175899.14	68.027	138.461	-1.015	6.06e-7
A2M-AS1	ENSG00000245105.2	0.220	2.115	-1.352	7.06e-27
A4GALT	ENSG00000128274.15	4.719	22.334	-2.028	1.39e-18
AADACP1	ENSG00000240602.7	1.850	0.225	1.218	4.18e-27
AARD	ENSG00000205002.3	0.075	1.325	-1.113	3.33e-15
AASS	ENSG00000008311.14	1.115	10.330	-2.421	9.96e-40
AATK	ENSG00000181409.11	1.790	7.905	-1.674	6.11e-21
ABCA1	ENSG00000165029.15	2.489	9.640	-1.608	2.86e-21
ABCA10	ENSG00000154263.17	0.300	5.010	-2.209	9.90e-44
ABCA3	ENSG00000167972.13	1.060	6.500	-1.864	1.19e-20
ABCA5	ENSG00000154265.15	4.750	13.920	-1.376	8.28e-26
ABCA6	ENSG00000154262.12	0.315	9.270	-2.965	8.24e-51
ABCA8	ENSG00000141338.13	0.355	18.020	-3.811	9.95e-85
ABCA9	ENSG00000154258.16	0.110	7.780	-2.984	4.03e-52
ABCB1	ENSG00000085563.14	13.520	5.065	1.260	1.15e-4
ABCC3	ENSG00000108846.15	40.425	7.859	2.225	7.22e-5
ABCC5	ENSG00000114770.16	8.590	20.870	-1.189	2.01e-22
ABCC6	ENSG00000091262.14	6.969	1.810	1.504	8.30e-10
ABCC6P1	ENSG00000256340.8	3.260	0.645	1.373	7.86e-7
ABCC8	ENSG00000006071.11	0.140	2.355	-1.557	1.81e-51
ABCC9	ENSG00000069431.10	0.590	4.425	-1.771	3.41e-15
ABCE1	ENSG00000164163.10	34.648	13.065	1.342	2.64e-43
ABHD11	ENSG00000106077.18	86.100	15.755	2.378	1.96e-18
ABHD11-AS1	ENSG00000225969.1	12.639	1.050	2.734	7.43e-9
ABHD12	ENSG00000100997.18	61.905	25.030	1.273	6.43e-34
ABHD17C	ENSG00000136379.11	51.904	4.685	3.218	8.78e-21
ABHD2	ENSG00000140526.16	31.825	10.505	1.513	7.22e-30
ABHD8	ENSG00000127220.5	2.295	10.830	-1.844	3.53e-30
ABI3BP	ENSG00000154175.16	2.434	27.875	-3.072	2.03e-39
ABL1	ENSG00000097007.17	27.315	65.514	-1.232	1.43e-14
ABLIM2	ENSG00000163995.18	14.525	4.530	1.489	6.48e-38
ABLIM3	ENSG00000173210.19	1.815	8.590	-1.768	8.56e-23
ABO	ENSG00000175164.13	11.959	2.720	1.801	9.36e-3
ABRACL	ENSG00000146386.7	102.128	13.855	2.795	6.43e-27
ABTB1	ENSG00000114626.17	14.874	48.309	-1.635	4.75e-22
AC000089.3	ENSG00000235776.2	3.885	0.315	1.893	2.65e-112
AC002116.8	ENSG00000248101.2	0.265	2.345	-1.403	1.24e-31
AC002398.12	ENSG00000267328.1	1.320	13.250	-2.619	8.79e-17
AC003090.1	ENSG00000223561.6	0.130	1.310	-1.032	3.47e-19
