Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
A1BG	ENSG00000121410.11	42.709	9.775	2.020	1.20e-162
A1BG-AS1	ENSG00000268895.5	7.290	2.115	1.412	6.24e-145
A2M	ENSG00000175899.14	293.435	59.280	2.288	4.20e-99
A2ML1	ENSG00000166535.19	0.060	68.895	-6.043	7.38e-315
A4GALT	ENSG00000128274.15	2.800	19.470	-2.429	2.76e-145
AACS	ENSG00000081760.16	9.440	49.610	-2.277	1.71e-257
AADAC	ENSG00000114771.13	0.000	3.640	-2.214	8.26e-178
AADACL2	ENSG00000197953.5	0.000	30.944	-4.997	0.00e+0
AARS	ENSG00000090861.15	77.262	31.475	1.269	4.12e-131
AARS2	ENSG00000124608.4	13.540	5.140	1.244	3.62e-126
AATBC	ENSG00000215458.8	0.410	6.995	-2.503	7.78e-151
ABC7-42404400C24.1	ENSG00000277758.4	0.070	1.260	-1.079	5.14e-173
ABCA10	ENSG00000154263.17	0.390	8.450	-2.765	1.13e-240
ABCA12	ENSG00000144452.14	0.020	15.535	-4.019	0.00e+0
ABCA5	ENSG00000154265.15	7.290	35.490	-2.138	8.60e-171
ABCA6	ENSG00000154262.12	0.780	11.560	-2.819	1.07e-85
ABCA7	ENSG00000064687.12	7.540	16.820	-1.061	2.86e-69
ABCA8	ENSG00000141338.13	0.760	9.710	-2.605	6.28e-39
ABCA9	ENSG00000154258.16	0.400	7.240	-2.557	9.17e-135
ABCB5	ENSG00000004846.16	9.970	0.290	3.088	2.10e-65
ABCC3	ENSG00000108846.15	1.300	24.010	-3.443	2.64e-294
ABCC9	ENSG00000069431.10	0.600	2.370	-1.075	9.51e-54
ABCD1	ENSG00000101986.11	24.920	3.990	2.377	3.03e-166
ABCG1	ENSG00000160179.18	5.350	13.975	-1.238	8.51e-50
ABHD12B	ENSG00000131969.14	0.340	25.380	-4.299	1.06e-210
ABHD14A	ENSG00000248487.8	24.100	6.500	1.743	2.01e-164
ABHD2	ENSG00000140526.16	19.700	8.030	1.197	1.80e-67
ABHD5	ENSG00000011198.7	9.600	33.496	-1.702	9.50e-185
ABI2	ENSG00000138443.15	22.320	7.800	1.406	3.12e-128
ABI3BP	ENSG00000154175.16	3.090	20.135	-2.369	1.22e-84
ABL2	ENSG00000143322.19	12.490	3.500	1.584	1.58e-108
ABLIM1	ENSG00000099204.18	4.610	75.449	-3.768	2.60e-261
ABLIM2	ENSG00000163995.18	0.830	9.925	-2.578	1.74e-261
ABO	ENSG00000175164.13	0.060	2.480	-1.715	2.93e-249
ABTB1	ENSG00000114626.17	18.379	41.020	-1.117	4.55e-103
AC002116.8	ENSG00000248101.2	0.460	2.135	-1.103	1.02e-94
AC002117.1	ENSG00000224505.2	0.000	1.170	-1.118	2.33e-102
AC003090.1	ENSG00000223561.6	0.060	1.840	-1.422	6.29e-78
AC004231.2	ENSG00000234477.1	0.000	1.820	-1.496	4.36e-219
AC004453.8	ENSG00000146677.7	2.620	7.320	-1.201	3.95e-75
AC004623.3	ENSG00000279488.1	0.280	1.960	-1.209	8.44e-178
AC004791.2	ENSG00000267453.6	0.000	1.915	-1.543	2.44e-132
AC004967.7	ENSG00000243554.1	2.790	0.500	1.337	2.30e-141
AC004988.1	ENSG00000203446.2	1.410	0.020	1.240	6.12e-67
AC005083.1	ENSG00000233834.6	0.260	2.765	-1.579	1.25e-160
AC005104.3	ENSG00000223374.1	0.420	3.290	-1.595	6.36e-196
AC005152.3	ENSG00000228639.6	0.130	7.975	-2.990	1.38e-133
AC005154.6	ENSG00000196295.11	15.930	36.186	-1.135	2.75e-100
AC005253.2	ENSG00000268030.1	0.770	3.125	-1.221	8.83e-162
AC005255.3	ENSG00000256210.3	4.400	0.000	2.433	1.79e-152
AC005517.3	ENSG00000223878.1	0.210	2.110	-1.362	2.73e-156
AC005519.4	ENSG00000258559.2	0.430	2.855	-1.431	1.03e-168
AC005592.2	ENSG00000231185.6	1.280	0.000	1.189	1.80e-158
AC005943.2	ENSG00000267059.2	4.820	0.000	2.541	4.87e-76
AC005944.2	ENSG00000267469.1	5.720	15.400	-1.287	2.53e-43
AC006116.20	ENSG00000267710.5	0.070	13.485	-3.759	0.00e+0
AC006128.2	ENSG00000279716.1	1.630	10.800	-2.166	3.61e-185
AC006262.4	ENSG00000269729.1	0.000	4.330	-2.414	6.94e-233
AC006262.5	ENSG00000268621.5	0.170	7.840	-2.918	5.08e-123
AC006978.6	ENSG00000235859.5	3.460	12.035	-1.547	1.27e-148
AC007193.6	ENSG00000267922.1	0.000	1.375	-1.248	1.38e-134
AC007326.1	ENSG00000279560.1	0.600	3.905	-1.616	5.50e-46
AC007566.10	ENSG00000244055.1	0.530	3.410	-1.527	3.98e-158
AC007969.5	ENSG00000233762.3	4.500	10.500	-1.064	2.30e-71
AC008074.4	ENSG00000223863.1	0.000	4.050	-2.336	9.25e-203
AC008592.8	ENSG00000272021.1	0.050	1.570	-1.291	2.00e-125
AC009065.4	ENSG00000279473.1	6.020	0.000	2.811	0.00e+0
AC009120.6	ENSG00000259972.2	2.640	13.715	-2.015	1.31e-191
AC009403.2	ENSG00000216895.8	4.120	1.460	1.057	1.41e-75
AC009501.4	ENSG00000231609.5	0.420	2.455	-1.283	1.49e-201
AC010168.1	ENSG00000281457.1	11.450	62.143	-2.342	5.37e-39
AC010761.8	ENSG00000264577.1	1.030	4.495	-1.437	1.86e-164
AC010883.5	ENSG00000234936.1	0.510	2.145	-1.059	5.86e-90
AC010894.3	ENSG00000226853.2	2.800	0.800	1.078	6.45e-103
AC010976.2	ENSG00000231731.7	0.380	2.290	-1.253	8.76e-170
AC011294.3	ENSG00000233539.5	1.610	0.100	1.247	1.37e-60
AC012146.7	ENSG00000234327.7	12.650	2.350	2.027	1.33e-149
AC015849.19	ENSG00000270871.1	0.190	2.760	-1.660	3.68e-202
AC016292.3	ENSG00000108958.4	2.970	0.630	1.284	4.21e-128
AC016629.3	ENSG00000269600.1	0.060	4.335	-2.331	1.48e-208
AC016629.7	ENSG00000269032.1	1.490	0.055	1.239	5.40e-16
