Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
A1CF	ENSG00000148584.14	1.625	0.150	1.191	1.83e-16
AAED1	ENSG00000158122.11	6.990	2.940	1.020	3.63e-24
AASDHPPT	ENSG00000149313.10	15.860	6.050	1.258	5.63e-56
AASS	ENSG00000008311.14	1.400	6.640	-1.671	3.85e-51
ABCA10	ENSG00000154263.17	0.640	2.660	-1.158	1.14e-24
ABCA5	ENSG00000154265.15	4.725	12.060	-1.190	3.86e-29
ABCA6	ENSG00000154262.12	0.945	3.640	-1.254	2.60e-26
ABCA8	ENSG00000141338.13	1.000	9.730	-2.424	3.82e-42
ABCA9	ENSG00000154258.16	0.385	2.060	-1.144	2.50e-29
ABCC5	ENSG00000114770.16	7.775	23.950	-1.508	1.82e-38
ABCC8	ENSG00000006071.11	0.230	7.560	-2.799	5.00e-60
ABCD1	ENSG00000101986.11	13.390	3.600	1.645	7.74e-36
ABCE1	ENSG00000164163.10	29.860	10.030	1.484	4.74e-66
ABCF2	ENSG00000033050.7	23.560	10.920	1.043	1.41e-29
ABHD11	ENSG00000106077.18	49.399	10.300	2.157	1.23e-82
ABHD11-AS1	ENSG00000225969.1	3.675	0.450	1.689	5.66e-27
ABHD17C	ENSG00000136379.11	47.831	8.840	2.311	1.52e-63
ABHD2	ENSG00000140526.16	54.915	18.610	1.512	1.38e-24
ABI1	ENSG00000136754.16	32.075	14.770	1.069	8.03e-46
ABI2	ENSG00000138443.15	19.975	6.250	1.533	1.18e-31
ABL2	ENSG00000143322.19	4.970	1.900	1.042	1.70e-40
ABO	ENSG00000175164.13	7.415	2.110	1.436	9.82e-12
ABRACL	ENSG00000146386.7	45.630	15.360	1.511	1.82e-47
ABTB2	ENSG00000166016.5	4.910	1.320	1.349	9.57e-27
AC002398.12	ENSG00000267328.1	0.370	1.890	-1.077	3.79e-11
AC002398.9	ENSG00000188223.9	7.050	2.930	1.034	1.31e-45
AC004057.1	ENSG00000196656.7	1378.133	463.973	1.569	1.21e-42
AC004453.8	ENSG00000146677.7	7.880	3.100	1.115	2.48e-28
AC005104.3	ENSG00000223374.1	0.500	2.180	-1.084	1.39e-43
AC005339.2	ENSG00000268565.1	0.000	1.150	-1.104	1.83e-4
AC005355.2	ENSG00000251169.2	1.670	0.330	1.005	1.14e-23
AC005943.2	ENSG00000267059.2	10.595	0.090	3.411	1.36e-44
AC005943.6	ENSG00000279009.1	1.355	0.000	1.236	3.32e-9
AC006011.4	ENSG00000244563.1	16.770	3.920	1.853	2.64e-89
AC006128.2	ENSG00000279716.1	2.095	7.930	-1.529	1.84e-31
AC006449.2	ENSG00000279119.1	0.000	18.520	-4.287	3.26e-92
AC007283.5	ENSG00000234431.2	1.390	0.100	1.119	1.12e-10
AC007969.5	ENSG00000233762.3	21.560	4.090	2.148	2.63e-54
AC008268.1	ENSG00000235584.2	0.000	1.340	-1.227	3.09e-51
AC009005.2	ENSG00000267751.5	2.685	0.590	1.213	2.42e-29
AC009299.3	ENSG00000227403.1	1.650	0.210	1.131	5.11e-30
AC009950.1	ENSG00000280755.1	2.660	0.780	1.040	7.04e-16
AC010761.10	ENSG00000265840.1	3.090	0.000	2.032	1.29e-25
AC012363.4	ENSG00000224789.1	1.560	0.000	1.356	2.87e-47
AC013463.2	ENSG00000236283.3	0.270	1.660	-1.067	9.57e-12
AC017116.11	ENSG00000239775.1	0.405	2.000	-1.094	1.96e-29
AC018766.4	ENSG00000267896.1	1.640	5.860	-1.378	3.25e-31
AC021218.2	ENSG00000204876.4	3.115	0.350	1.608	2.95e-21
AC027612.3	ENSG00000230572.5	0.000	1.370	-1.245	2.99e-52
AC069213.1	ENSG00000224769.1	4.640	1.410	1.227	1.88e-12
AC073046.25	ENSG00000235499.1	3.765	0.610	1.565	2.14e-46
AC074212.5	ENSG00000259605.3	1.765	5.890	-1.317	9.59e-20
AC074212.6	ENSG00000267395.5	1.250	3.680	-1.057	1.39e-26
AC079767.4	ENSG00000224137.1	1.145	0.000	1.101	1.97e-34
AC093724.2	ENSG00000213222.3	1.740	0.340	1.032	1.72e-58
AC108488.4	ENSG00000242282.6	2.305	7.390	-1.344	1.01e-32
AC132217.4	ENSG00000240801.1	0.425	5.450	-2.178	3.91e-8
AC133528.2	ENSG00000228989.1	2.275	5.740	-1.041	4.80e-21
AC133644.2	ENSG00000280721.1	2.430	0.490	1.203	7.25e-54
AC141586.5	ENSG00000215154.6	3.410	1.180	1.016	3.50e-65
ACAA2	ENSG00000167315.17	49.755	20.141	1.264	5.02e-17
ACACB	ENSG00000076555.15	4.740	14.860	-1.466	2.34e-31
ACADL	ENSG00000115361.7	0.080	3.980	-2.205	4.87e-94
ACADVL	ENSG00000072778.19	130.191	495.450	-1.920	7.28e-52
ACAN	ENSG00000157766.15	2.945	0.190	1.729	4.18e-50
ACAP2	ENSG00000114331.12	13.650	4.850	1.324	1.28e-50
ACAP3	ENSG00000131584.18	13.065	28.650	-1.076	1.74e-23
ACBD3	ENSG00000182827.8	29.310	11.450	1.284	2.48e-70
ACBD5	ENSG00000107897.18	17.115	6.040	1.364	3.75e-52
ACCS	ENSG00000110455.13	4.875	16.840	-1.602	2.50e-37
ACE	ENSG00000159640.14	19.760	3.690	2.146	3.96e-41
ACE2	ENSG00000130234.10	1.815	0.320	1.093	1.53e-6
ACER3	ENSG00000078124.11	10.555	2.460	1.740	1.04e-78
ACHE	ENSG00000087085.13	5.195	0.970	1.653	2.65e-16
ACKR1	ENSG00000213088.9	7.585	19.260	-1.239	3.29e-12
ACLY	ENSG00000131473.16	42.324	18.640	1.141	7.10e-37
ACOT13	ENSG00000112304.10	17.225	7.520	1.097	2.49e-44
ACOT7	ENSG00000097021.19	46.134	10.200	2.073	9.26e-58
ACPP	ENSG00000014257.15	2.975	0.980	1.005	6.59e-11
ACSF2	ENSG00000167107.12	12.400	26.820	-1.054	4.14e-15
ACSL4	ENSG00000068366.19	20.360	7.900	1.263	4.71e-43
ACSL5	ENSG00000197142.10	53.059	10.930	2.180	4.33e-33
ACSM3	ENSG00000005187.11	10.945	23.740	-1.050	2.48e-4
ACSM5	ENSG00000183549.10	0.240	2.260	-1.395	2.67e-63
ACTA1	ENSG00000143632.14	0.080	1.480	-1.199	9.65e-36
ACTA2-AS1	ENSG00000180139.11	2.025	5.570	-1.119	5.87e-14
ACTB	ENSG00000075624.13	4546.371	1690.810	1.426	1.02e-22
ACTG1	ENSG00000184009.9	3068.248	1155.177	1.409	3.66e-41
ACTG2	ENSG00000163017.13	62.943	213.693	-1.747	1.29e-9
ACTL6A	ENSG00000136518.16	42.299	17.890	1.197	1.45e-60
ACTN1	ENSG00000072110.13	119.800	53.660	1.144	2.86e-5
ACTN4	ENSG00000130402.11	442.519	113.417	1.955	4.03e-60
ACTR2	ENSG00000138071.13	81.303	27.359	1.537	3.74e-77
ACTR3	ENSG00000115091.11	116.013	41.550	1.459	9.65e-49
ACVR1	ENSG00000115170.13	16.020	6.930	1.102	1.53e-34
ACY1	ENSG00000243989.7	44.999	13.930	1.623	1.05e-31
ACY3	ENSG00000132744.7	9.450	4.090	1.038	1.51e-13
ADA	ENSG00000196839.12	8.685	25.400	-1.447	6.31e-23
ADAM10	ENSG00000137845.14	54.545	10.170	2.314	2.54e-69
ADAM12	ENSG00000148848.14	2.325	0.110	1.583	4.16e-51
ADAM17	ENSG00000151694.12	7.600	2.940	1.126	4.13e-44
ADAM33	ENSG00000149451.17	1.210	16.030	-2.946	9.01e-52
ADAM8	ENSG00000151651.15	10.820	3.120	1.520	1.12e-38
ADAMDEC1	ENSG00000134028.14	5.310	0.520	2.054	6.67e-39
ADAMTS1	ENSG00000154734.14	9.300	24.580	-1.312	2.98e-17
ADAMTS12	ENSG00000151388.10	3.300	0.340	1.682	3.09e-41
ADAMTS13	ENSG00000160323.18	0.750	3.570	-1.385	3.67e-52
ADAMTS15	ENSG00000166106.3	0.675	2.650	-1.124	1.27e-22
ADAMTS2	ENSG00000087116.13	11.000	4.200	1.207	7.81e-18
ADAMTSL4	ENSG00000143382.13	6.665	14.600	-1.025	2.05e-16
ADAMTSL5	ENSG00000185761.10	5.085	0.980	1.620	2.30e-27
ADAP1	ENSG00000105963.13	46.838	12.190	1.859	2.76e-52
ADAP2	ENSG00000184060.10	6.660	2.110	1.300	1.29e-44
ADAR	ENSG00000160710.15	83.026	32.511	1.326	8.22e-48
ADAT1	ENSG00000065457.10	21.860	9.350	1.143	5.61e-66
ADAT3	ENSG00000213638.5	6.995	2.950	1.017	3.44e-28
ADCK3	ENSG00000163050.16	24.550	53.988	-1.106	4.78e-18
ADCY4	ENSG00000129467.13	4.435	12.020	-1.260	1.80e-25
ADCY6	ENSG00000174233.11	12.080	26.640	-1.079	4.47e-17
ADCY7	ENSG00000121281.12	7.795	2.780	1.218	2.55e-31
ADGRD1	ENSG00000111452.12	2.090	12.300	-2.106	2.33e-25
ADGRE2	ENSG00000127507.17	2.475	0.730	1.006	1.91e-28
ADGRE5	ENSG00000123146.19	58.712	24.070	1.252	1.15e-37
ADGRG1	ENSG00000205336.11	69.125	31.321	1.117	2.20e-26
ADGRG2	ENSG00000173698.17	0.210	1.470	-1.030	1.17e-20
ADGRG6	ENSG00000112414.14	9.315	3.680	1.140	2.16e-9
ADGRG7	ENSG00000144820.7	2.025	0.020	1.568	1.38e-23
ADH1B	ENSG00000196616.12	2.450	49.090	-3.860	3.33e-50
ADH1C	ENSG00000248144.5	15.155	43.971	-1.477	2.81e-3
ADH6	ENSG00000172955.17	1.910	0.190	1.290	2.37e-20
ADH7	ENSG00000196344.11	0.010	1.520	-1.319	1.28e-28
ADHFE1	ENSG00000147576.15	0.890	27.249	-3.902	1.25e-117
ADIRF-AS1	ENSG00000272734.1	1.035	4.920	-1.541	3.62e-46
ADK	ENSG00000156110.13	21.125	7.540	1.373	9.39e-52
ADM	ENSG00000148926.9	8.525	18.510	-1.034	3.63e-18
ADNP	ENSG00000101126.15	30.715	14.190	1.062	3.33e-37
ADO	ENSG00000181915.4	10.955	3.640	1.365	3.88e-73
ADORA2B	ENSG00000170425.3	2.805	0.490	1.353	6.97e-23
ADRA2A	ENSG00000150594.6	5.330	1.010	1.655	9.09e-20
ADRM1	ENSG00000130706.12	101.969	42.890	1.230	5.28e-46
ADSSL1	ENSG00000185100.10	2.685	8.390	-1.349	6.24e-18
AEBP2	ENSG00000139154.14	15.250	5.570	1.307	1.17e-37
AFAP1	ENSG00000196526.10	10.940	3.170	1.518	6.70e-31
AFAP1-AS1	ENSG00000272620.1	1.190	0.040	1.074	2.90e-20
AFF3	ENSG00000144218.18	0.610	2.950	-1.295	5.53e-22
AGAP1	ENSG00000157985.17	12.245	4.350	1.308	1.87e-37
AGAP11	ENSG00000271880.1	0.170	1.420	-1.048	1.45e-47
AGAP2-AS1	ENSG00000255737.2	7.040	2.260	1.302	2.36e-40
AGAP6	ENSG00000204149.9	4.985	11.640	-1.079	1.80e-17
