Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
A2M	ENSG00000175899.14	141.945	41.380	1.754	3.39e-22
A2M-AS1	ENSG00000245105.2	0.460	2.340	-1.194	3.64e-19
A2ML1	ENSG00000166535.19	3.850	10.070	-1.191	1.42e-14
A4GALT	ENSG00000128274.15	45.150	8.440	2.289	8.68e-25
AA06	ENSG00000265544.1	0.000	1.960	-1.566	1.20e-47
AACSP1	ENSG00000250420.8	0.030	6.990	-2.956	2.87e-78
AADACL2-AS1	ENSG00000242908.6	0.300	5.480	-2.317	4.96e-54
AADAT	ENSG00000109576.13	2.670	9.370	-1.499	1.24e-24
AAK1	ENSG00000115977.18	4.280	10.010	-1.060	9.49e-31
AAMDC	ENSG00000087884.14	17.930	56.090	-1.593	1.02e-32
AANAT	ENSG00000129673.9	0.310	6.630	-2.542	3.71e-62
AARD	ENSG00000205002.3	2.720	26.130	-2.867	1.01e-45
AARS2	ENSG00000124608.4	15.899	5.310	1.421	5.45e-34
AARSD1	ENSG00000266967.6	64.350	156.768	-1.272	2.22e-34
AASDHPPT	ENSG00000149313.10	14.480	42.929	-1.505	1.00e-28
AATBC	ENSG00000215458.8	0.560	8.280	-2.573	1.45e-36
AATF	ENSG00000275700.4	67.550	32.651	1.027	1.04e-38
AATK	ENSG00000181409.11	0.390	2.190	-1.198	2.01e-9
AB015752.3	ENSG00000254180.1	0.000	1.890	-1.531	2.07e-58
ABALON	ENSG00000281376.1	0.440	4.470	-1.925	5.66e-53
ABAT	ENSG00000183044.11	3.380	17.019	-2.041	1.61e-35
ABC7-42418200C9.1	ENSG00000268486.5	0.000	2.090	-1.628	2.38e-46
ABCA10	ENSG00000154263.17	0.530	14.500	-3.341	2.82e-97
ABCA11P	ENSG00000251595.7	2.150	5.500	-1.045	1.18e-24
ABCA13	ENSG00000179869.14	0.390	2.170	-1.189	5.82e-36
ABCA17P	ENSG00000238098.8	0.680	76.478	-5.527	2.57e-90
ABCA2	ENSG00000107331.16	11.450	27.080	-1.173	1.18e-25
ABCA3	ENSG00000167972.13	4.300	14.540	-1.552	1.22e-31
ABCA5	ENSG00000154265.15	3.570	25.451	-2.533	9.80e-69
ABCA6	ENSG00000154262.12	0.920	2.870	-1.011	2.86e-11
ABCA8	ENSG00000141338.13	0.790	33.240	-4.258	1.03e-75
ABCA9	ENSG00000154258.16	0.550	4.220	-1.752	1.50e-42
ABCB1	ENSG00000085563.14	1.560	5.000	-1.229	3.20e-14
ABCB11	ENSG00000073734.8	0.000	3.550	-2.186	9.74e-52
ABCB6	ENSG00000115657.12	13.470	60.989	-2.099	4.77e-54
ABCB9	ENSG00000150967.17	4.270	24.750	-2.289	4.96e-69
ABCC11	ENSG00000121270.15	0.140	5.200	-2.443	4.42e-74
ABCC12	ENSG00000140798.15	0.720	15.490	-3.261	3.41e-44
ABCC3	ENSG00000108846.15	2.040	7.180	-1.428	9.41e-13
ABCD1	ENSG00000101986.11	5.960	24.271	-1.860	1.60e-51
ABCG1	ENSG00000160179.18	5.150	2.040	1.017	2.04e-20
ABCG4	ENSG00000172350.9	0.470	9.340	-2.814	6.03e-58
ABHD1	ENSG00000143994.13	0.440	131.297	-6.522	4.92e-86
ABHD12	ENSG00000100997.18	63.561	26.500	1.231	7.56e-48
ABHD12B	ENSG00000131969.14	18.191	0.860	3.367	4.95e-31
ABHD14B	ENSG00000114779.19	29.260	13.890	1.023	2.64e-11
ABHD16B	ENSG00000183260.6	0.000	19.860	-4.383	1.79e-52
ABHD17B	ENSG00000107362.13	6.360	15.130	-1.132	1.32e-21
ABHD2	ENSG00000140526.16	8.460	71.258	-2.933	3.40e-45
ABHD4	ENSG00000100439.10	14.940	52.581	-1.749	2.10e-41
ABHD8	ENSG00000127220.5	3.630	58.569	-3.685	3.12e-67
ABI3	ENSG00000108798.8	9.420	1.610	1.997	2.82e-45
ABLIM1	ENSG00000099204.18	6.220	33.180	-2.243	1.09e-44
ABO	ENSG00000175164.13	0.270	8.830	-2.952	1.18e-69
ABRA	ENSG00000174429.3	0.000	2.710	-1.891	6.95e-52
ABT1P1	ENSG00000250496.2	0.000	2.060	-1.614	8.67e-39
AC000036.4	ENSG00000225929.1	0.050	13.120	-3.749	4.22e-57
AC000089.3	ENSG00000235776.2	3.080	0.350	1.596	7.38e-59
AC000095.11	ENSG00000273164.1	0.070	1.910	-1.443	4.43e-37
AC000099.1	ENSG00000236340.5	0.000	3.280	-2.098	1.35e-42
AC000123.3	ENSG00000279265.1	0.750	2.930	-1.167	1.83e-32
AC000123.4	ENSG00000224138.1	0.420	1.920	-1.040	5.87e-43
AC001226.7	ENSG00000274898.1	0.090	3.410	-2.016	9.03e-95
AC002056.5	ENSG00000254499.1	0.000	3.390	-2.134	1.20e-41
AC002059.10	ENSG00000273216.1	1.340	5.330	-1.436	6.97e-18
AC002064.5	ENSG00000225498.1	0.000	2.540	-1.824	6.56e-63
AC002064.7	ENSG00000280440.1	0.000	15.630	-4.056	3.19e-66
AC002115.5	ENSG00000224910.1	0.000	25.470	-4.726	1.84e-70
AC002115.9	ENSG00000267626.1	0.000	2.480	-1.799	2.76e-56
AC002117.1	ENSG00000224505.2	0.000	4.490	-2.457	1.55e-57
AC002310.14	ENSG00000278922.1	0.600	20.031	-3.716	1.86e-71
AC002398.11	ENSG00000267439.1	0.090	1.520	-1.209	8.24e-71
AC002398.12	ENSG00000267328.1	0.970	5.020	-1.612	3.68e-6
AC002398.13	ENSG00000267049.1	1.620	8.410	-1.845	3.01e-21
AC002398.9	ENSG00000188223.9	7.220	20.760	-1.404	1.72e-29
AC002451.3	ENSG00000231170.5	0.140	1.310	-1.019	1.15e-19
AC002454.1	ENSG00000237819.5	0.210	2.360	-1.473	2.19e-10
AC002463.3	ENSG00000223646.1	0.190	1.810	-1.240	1.30e-23
AC002465.2	ENSG00000238202.1	0.000	5.890	-2.784	1.20e-51
AC002467.7	ENSG00000241764.3	5.340	99.988	-3.994	1.36e-64
AC002480.2	ENSG00000238033.1	0.510	2.510	-1.217	3.46e-15
AC002511.2	ENSG00000233214.1	0.000	1.390	-1.257	1.97e-33
AC002519.6	ENSG00000261457.3	0.000	1.790	-1.480	2.23e-49
AC003075.4	ENSG00000237773.5	0.240	12.350	-3.428	1.95e-78
AC003090.1	ENSG00000223561.6	0.100	2.900	-1.826	2.56e-49
AC003664.1	ENSG00000234634.1	0.000	1.910	-1.541	4.84e-40
AC003688.1	ENSG00000281419.1	0.000	8.430	-3.237	2.45e-8
AC003973.3	ENSG00000279377.1	11.030	4.590	1.106	4.98e-9
AC003973.4	ENSG00000269504.1	0.000	3.540	-2.183	5.54e-52
AC003991.3	ENSG00000228113.7	0.180	4.670	-2.265	1.76e-48
AC004009.1	ENSG00000279655.1	0.000	18.670	-4.298	6.42e-66
AC004057.1	ENSG00000196656.7	971.115	224.846	2.106	5.55e-24
AC004070.1	ENSG00000231110.1	0.000	13.360	-3.844	9.23e-56
AC004125.3	ENSG00000260264.1	0.000	1.380	-1.251	4.65e-37
AC004221.2	ENSG00000267778.1	0.050	6.190	-2.776	4.47e-82
AC004237.1	ENSG00000230612.3	0.130	1.660	-1.235	9.46e-55
AC004381.6	ENSG00000005189.19	4.060	279.653	-5.794	2.68e-83
AC004381.7	ENSG00000260510.1	0.000	2.230	-1.692	2.69e-52
AC004383.3	ENSG00000226107.1	0.000	1.500	-1.322	2.72e-29
AC004448.5	ENSG00000235979.8	0.270	14.050	-3.567	3.24e-63
AC004471.10	ENSG00000272682.1	0.100	3.470	-2.023	6.38e-77
AC004510.3	ENSG00000267308.1	0.000	7.820	-3.141	1.10e-67
AC004535.2	ENSG00000236414.1	0.000	1.610	-1.384	4.76e-38
AC004540.4	ENSG00000225792.1	0.920	6.240	-1.915	7.11e-33
AC004540.5	ENSG00000214870.8	1.740	4.750	-1.069	9.54e-23
AC004623.2	ENSG00000267755.1	0.000	1.300	-1.202	2.79e-18
AC004623.3	ENSG00000279488.1	0.880	7.330	-2.148	5.21e-78
AC004692.4	ENSG00000228680.1	0.000	4.370	-2.425	8.10e-50
AC004754.3	ENSG00000269881.1	0.120	3.110	-1.876	2.08e-76
AC004854.4	ENSG00000234183.1	0.150	3.130	-1.844	4.75e-39
AC004862.6	ENSG00000232667.9	0.000	5.350	-2.667	8.68e-46
AC004869.2	ENSG00000230680.2	0.000	4.040	-2.333	1.79e-57
AC004895.4	ENSG00000231704.5	0.000	2.340	-1.740	1.24e-50
AC004899.3	ENSG00000225705.2	0.000	1.220	-1.151	1.02e-51
AC004906.3	ENSG00000237286.1	0.000	2.150	-1.655	4.44e-59
AC005008.2	ENSG00000237896.6	0.000	3.360	-2.124	5.65e-49
AC005009.1	ENSG00000231255.1	0.000	3.570	-2.192	3.22e-53
AC005009.2	ENSG00000233073.1	0.000	1.920	-1.546	3.60e-49
AC005076.5	ENSG00000224046.1	3.810	33.770	-2.854	2.63e-48
AC005077.14	ENSG00000230882.1	0.190	13.650	-3.622	3.18e-89
AC005077.5	ENSG00000228829.1	0.000	3.380	-2.131	1.38e-47
AC005104.3	ENSG00000223374.1	1.360	4.540	-1.231	9.47e-36
AC005150.1	ENSG00000248431.1	0.000	1.010	-1.007	4.30e-26
AC005154.6	ENSG00000196295.11	17.179	35.520	-1.006	3.27e-22
AC005154.7	ENSG00000244480.1	0.390	2.980	-1.518	9.20e-73
AC005162.4	ENSG00000229452.1	0.000	2.710	-1.891	1.90e-39
AC005235.1	ENSG00000236653.1	0.000	1.290	-1.195	3.71e-28
AC005253.2	ENSG00000268030.1	1.160	4.560	-1.364	1.97e-56
AC005255.3	ENSG00000256210.3	7.650	0.810	2.257	5.00e-39
AC005262.2	ENSG00000267688.1	0.000	2.640	-1.864	3.66e-45
AC005301.8	ENSG00000235343.1	0.020	2.210	-1.654	1.14e-62
AC005306.3	ENSG00000267283.1	1.050	3.680	-1.191	1.36e-8
AC005324.6	ENSG00000233002.2	0.000	3.070	-2.025	1.70e-50
AC005324.7	ENSG00000233193.1	0.000	7.420	-3.074	8.60e-46
AC005330.2	ENSG00000267372.2	0.910	3.120	-1.109	9.22e-26
AC005339.2	ENSG00000268565.1	6.490	0.000	2.905	2.48e-43
AC005387.3	ENSG00000268938.2	0.210	1.690	-1.153	4.05e-38
AC005391.2	ENSG00000267159.2	0.000	4.500	-2.459	8.53e-49
AC005481.5	ENSG00000222012.1	0.050	3.410	-2.070	4.46e-100
AC005487.2	ENSG00000225647.1	0.000	2.710	-1.891	3.66e-41
AC005498.3	ENSG00000267421.6	0.660	3.450	-1.423	5.33e-49
AC005518.2	ENSG00000230190.1	0.000	1.610	-1.384	4.35e-39
AC005522.7	ENSG00000225703.1	0.000	7.330	-3.058	4.22e-61
AC005523.2	ENSG00000269604.1	20.060	7.430	1.321	4.88e-63
AC005523.3	ENSG00000268536.1	0.140	6.680	-2.752	1.98e-64
AC005538.3	ENSG00000279809.1	2.250	7.150	-1.326	1.64e-11
AC005562.1	ENSG00000214719.11	5.450	20.910	-1.764	3.79e-35
AC005593.2	ENSG00000279584.1	0.000	1.160	-1.111	6.21e-57
AC005618.6	ENSG00000272070.1	0.240	1.880	-1.216	2.20e-60
AC005682.5	ENSG00000228649.8	14.680	1.020	2.957	8.74e-52
AC005682.6	ENSG00000226329.2	1.440	0.090	1.163	4.08e-36
AC005703.3	ENSG00000230971.1	0.000	1.570	-1.362	4.41e-42
AC005754.7	ENSG00000272154.4	0.080	70.722	-6.053	5.10e-76
AC005775.2	ENSG00000266933.2	0.340	2.230	-1.269	2.58e-63
AC005785.2	ENSG00000268189.2	0.790	3.560	-1.349	1.75e-41
AC005785.5	ENSG00000279203.1	0.430	1.910	-1.025	2.74e-38
AC005786.3	ENSG00000266959.1	0.000	2.130	-1.646	2.54e-12
AC005786.6	ENSG00000279590.1	0.000	1.270	-1.183	2.71e-49
AC005808.3	ENSG00000235415.1	0.160	4.830	-2.329	1.55e-42
AC005863.2	ENSG00000238212.2	0.000	1.760	-1.465	3.14e-47
AC005943.2	ENSG00000267059.2	7.270	0.000	3.048	7.34e-18
AC005943.6	ENSG00000279009.1	19.271	0.000	4.341	1.80e-12
AC005944.2	ENSG00000267469.1	6.050	18.920	-1.498	1.14e-6
AC006011.4	ENSG00000244563.1	26.640	59.239	-1.124	1.53e-9
AC006014.8	ENSG00000146722.11	0.560	75.180	-5.610	2.88e-89
AC006019.3	ENSG00000203335.4	0.170	64.520	-5.807	1.50e-52
AC006042.6	ENSG00000227719.1	0.110	2.670	-1.725	5.18e-67
AC006050.2	ENSG00000231421.7	0.510	4.050	-1.742	3.10e-11
AC006116.13	ENSG00000266932.1	0.090	1.650	-1.282	2.82e-58
AC006116.14	ENSG00000267145.1	0.000	1.240	-1.163	8.96e-33
AC006116.15	ENSG00000267429.1	0.310	1.890	-1.141	7.73e-29
AC006116.17	ENSG00000267549.5	0.150	5.020	-2.388	3.36e-73
AC006116.20	ENSG00000267710.5	0.240	3.710	-1.925	9.44e-38
