Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
A4GALT	ENSG00000128274.15	8.210	26.500	-1.578	7.33e-65
AAAS	ENSG00000094914.12	27.980	64.319	-1.172	3.81e-118
AASS	ENSG00000008311.14	2.435	12.870	-2.014	8.16e-164
AATK	ENSG00000181409.11	1.700	6.410	-1.456	5.00e-54
ABCA10	ENSG00000154263.17	0.435	11.550	-3.129	3.74e-176
ABCA5	ENSG00000154265.15	8.115	20.150	-1.214	4.08e-98
ABCA6	ENSG00000154262.12	0.575	16.050	-3.436	8.45e-188
ABCA7	ENSG00000064687.12	10.395	24.609	-1.168	1.14e-43
ABCA8	ENSG00000141338.13	2.440	25.980	-2.971	8.84e-130
ABCA9	ENSG00000154258.16	0.160	10.960	-3.366	5.34e-221
ABCB6	ENSG00000115657.12	16.190	41.369	-1.301	4.76e-83
ABCC1	ENSG00000103222.18	11.445	28.670	-1.253	4.70e-90
ABCC5	ENSG00000114770.16	2.965	15.570	-2.063	2.85e-138
ABCC6P1	ENSG00000256340.8	4.365	0.710	1.650	5.21e-130
ABCC6P2	ENSG00000255277.3	5.910	0.700	2.023	6.08e-172
ABCC8	ENSG00000006071.11	1.125	8.990	-2.233	9.94e-39
ABCC9	ENSG00000069431.10	0.970	5.790	-1.785	3.68e-121
ABHD11-AS1	ENSG00000225969.1	5.480	1.140	1.598	1.02e-53
ABI3BP	ENSG00000154175.16	7.915	51.460	-2.557	2.55e-95
ABLIM1	ENSG00000099204.18	34.349	75.598	-1.116	1.51e-67
ABLIM3	ENSG00000173210.19	1.905	12.140	-2.177	9.56e-143
ABO	ENSG00000175164.13	8.310	22.500	-1.336	1.40e-66
ABTB1	ENSG00000114626.17	17.410	44.659	-1.310	4.41e-75
ABTB2	ENSG00000166016.5	5.355	1.870	1.147	3.02e-36
AC000089.3	ENSG00000235776.2	3.140	0.570	1.399	2.52e-101
AC000123.3	ENSG00000279265.1	1.270	4.140	-1.179	3.17e-99
AC000123.4	ENSG00000224138.1	0.580	2.240	-1.036	1.99e-106
AC002066.1	ENSG00000237813.3	0.750	2.860	-1.141	5.24e-51
AC002116.8	ENSG00000248101.2	0.300	3.670	-1.845	5.95e-83
AC002398.12	ENSG00000267328.1	0.325	2.580	-1.434	1.40e-67
AC004623.3	ENSG00000279488.1	0.190	2.210	-1.432	5.96e-136
AC005042.4	ENSG00000204380.4	0.600	2.720	-1.217	4.52e-74
AC005083.1	ENSG00000233834.6	6.930	2.630	1.127	2.42e-28
AC005104.3	ENSG00000223374.1	0.575	5.170	-1.970	1.85e-133
AC005154.6	ENSG00000196295.11	20.865	70.082	-1.701	5.16e-81
AC005154.7	ENSG00000244480.1	0.880	4.600	-1.575	2.90e-110
AC005253.2	ENSG00000268030.1	0.740	5.100	-1.810	2.01e-136
AC005255.3	ENSG00000256210.3	2.390	0.680	1.013	2.03e-25
AC005306.3	ENSG00000267283.1	0.715	3.060	-1.243	4.18e-43
AC005329.7	ENSG00000248015.6	0.500	2.620	-1.271	7.91e-97
AC005363.9	ENSG00000255513.1	0.000	1.320	-1.214	2.45e-40
AC005517.3	ENSG00000223878.1	0.910	4.720	-1.582	3.61e-98
AC005519.4	ENSG00000258559.2	0.660	6.470	-2.170	3.46e-140
AC005682.5	ENSG00000228649.8	0.240	1.630	-1.085	1.72e-134
AC005785.2	ENSG00000268189.2	0.190	1.450	-1.042	7.94e-80
AC005785.5	ENSG00000279203.1	0.280	2.000	-1.229	1.74e-99
AC005786.7	ENSG00000267436.1	2.545	9.980	-1.631	8.41e-30
AC006077.3	ENSG00000279799.1	1.310	4.410	-1.228	5.98e-59
AC006116.24	ENSG00000267776.1	0.750	3.010	-1.196	2.19e-96
AC006126.4	ENSG00000267045.1	3.435	13.950	-1.753	3.73e-46
AC006128.2	ENSG00000279716.1	2.430	28.939	-3.126	2.76e-122
AC006273.5	ENSG00000267530.2	0.410	2.050	-1.113	6.96e-63
AC006547.13	ENSG00000236540.7	1.760	5.790	-1.299	1.25e-114
AC007038.7	ENSG00000229127.1	0.260	2.180	-1.336	7.02e-166
AC007192.6	ENSG00000269145.2	7.045	2.350	1.264	2.10e-49
AC007255.8	ENSG00000223813.2	3.725	0.470	1.685	1.57e-51
AC007283.5	ENSG00000234431.2	4.375	1.410	1.157	1.76e-36
AC007292.6	ENSG00000267980.1	0.895	4.480	-1.532	1.50e-106
AC007326.1	ENSG00000279560.1	1.130	11.210	-2.519	3.40e-110
AC007566.10	ENSG00000244055.1	1.115	6.150	-1.757	2.03e-118
AC007743.1	ENSG00000233251.7	0.730	5.640	-1.940	1.22e-167
AC007952.5	ENSG00000228157.4	0.350	1.770	-1.037	2.16e-84
AC008746.12	ENSG00000267838.2	1.020	4.120	-1.342	2.28e-62
AC008746.5	ENSG00000235681.1	0.665	3.470	-1.425	4.03e-51
AC008993.2	ENSG00000282542.1	0.295	1.820	-1.123	3.28e-125
AC009065.4	ENSG00000279473.1	2.910	0.000	1.967	4.29e-96
AC009120.3	ENSG00000239763.2	0.610	3.830	-1.585	1.28e-125
AC009120.5	ENSG00000260884.1	0.430	2.360	-1.232	6.84e-110
AC009120.6	ENSG00000259972.2	5.575	28.210	-2.151	6.76e-119
AC009133.21	ENSG00000275857.1	1.025	5.160	-1.605	1.76e-42
AC009237.11	ENSG00000236431.1	1.285	5.550	-1.519	2.31e-90
AC009237.17	ENSG00000235959.1	1.535	6.190	-1.504	2.70e-50
AC009237.8	ENSG00000229689.3	1.920	6.000	-1.261	4.77e-91
AC009238.7	ENSG00000227120.1	1.535	6.200	-1.506	5.40e-52
AC009404.2	ENSG00000236255.1	0.470	1.980	-1.019	8.95e-103
AC009948.5	ENSG00000223960.6	4.715	12.590	-1.250	3.01e-123
AC010168.1	ENSG00000281457.1	15.765	34.520	-1.083	1.04e-13
AC010761.8	ENSG00000264577.1	0.600	2.380	-1.079	1.31e-98
AC010761.9	ENSG00000265474.1	0.560	4.400	-1.791	3.31e-99
AC010883.5	ENSG00000234936.1	0.820	5.320	-1.796	3.24e-135
AC010976.2	ENSG00000231731.7	0.430	3.490	-1.651	7.41e-137
AC010980.2	ENSG00000237732.9	0.210	3.690	-1.955	1.02e-111
AC011290.5	ENSG00000236015.1	0.550	3.120	-1.410	3.20e-110
AC011298.2	ENSG00000219159.4	0.020	1.370	-1.216	5.38e-73
AC011737.2	ENSG00000204196.5	35.200	16.480	1.050	3.89e-52
AC015849.19	ENSG00000270871.1	0.240	1.940	-1.245	1.50e-108
AC016722.4	ENSG00000228925.1	0.150	1.450	-1.091	4.04e-148
AC017116.11	ENSG00000239775.1	0.850	4.720	-1.629	4.22e-94
AC018462.3	ENSG00000242735.1	0.110	1.940	-1.405	5.70e-81
AC018766.4	ENSG00000267896.1	3.170	20.460	-2.364	4.08e-125
AC018766.6	ENSG00000268047.1	0.080	1.190	-1.020	4.99e-122
AC018804.7	ENSG00000213225.7	0.210	1.890	-1.256	7.23e-46
AC018816.3	ENSG00000235978.6	7.180	0.800	2.184	8.92e-116
AC024560.3	ENSG00000214135.8	5.260	34.741	-2.513	3.43e-157
AC024937.6	ENSG00000231443.2	0.410	2.090	-1.132	7.58e-95
AC026150.8	ENSG00000260693.1	1.690	5.910	-1.361	1.74e-84
AC027601.1	ENSG00000260005.6	0.160	1.600	-1.164	8.87e-147
AC034220.3	ENSG00000233006.6	3.930	13.090	-1.515	9.02e-104
AC068134.10	ENSG00000251485.1	0.600	3.990	-1.641	9.12e-148
AC068138.1	ENSG00000235070.3	0.470	7.120	-2.466	1.14e-81
AC068491.2	ENSG00000229118.1	0.765	3.110	-1.219	3.99e-42
AC073130.3	ENSG00000243243.5	0.215	2.320	-1.450	5.32e-124
AC073464.7	ENSG00000232502.1	0.110	4.040	-2.183	4.45e-121
AC073850.6	ENSG00000229436.1	0.000	2.040	-1.604	5.47e-95
AC074117.10	ENSG00000234072.1	2.250	7.630	-1.409	5.05e-114
AC074212.5	ENSG00000259605.3	12.325	27.249	-1.084	4.57e-35
AC074212.6	ENSG00000267395.5	2.210	8.040	-1.494	3.12e-102
AC078842.3	ENSG00000228031.2	0.040	1.720	-1.387	2.94e-124
AC078899.3	ENSG00000269274.1	0.080	3.000	-1.889	9.87e-134
AC079630.2	ENSG00000223914.1	18.360	0.100	4.137	1.78e-149
AC079630.4	ENSG00000225342.2	12.540	1.120	2.675	1.18e-94
AC079781.7	ENSG00000232032.1	0.000	2.300	-1.722	4.46e-17
AC079807.2	ENSG00000233230.1	1.255	3.560	-1.016	4.88e-106
AC083843.1	ENSG00000259820.1	0.720	4.780	-1.749	3.65e-130
AC083843.4	ENSG00000279518.1	0.665	2.680	-1.144	5.20e-62
