Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
A1BG	ENSG00000121410.11	41.714	4.030	3.086	1.96e-67
A1BG-AS1	ENSG00000268895.5	4.735	1.210	1.376	1.46e-44
A2M	ENSG00000175899.14	61.950	0.580	5.316	5.72e-159
A4GALT	ENSG00000128274.15	8.207	0.180	2.964	6.52e-78
AAAS	ENSG00000094914.12	50.124	8.050	2.498	8.27e-79
AACS	ENSG00000081760.16	13.870	1.010	2.887	1.31e-114
AACSP1	ENSG00000250420.8	1.135	0.000	1.094	7.26e-41
AADAT	ENSG00000109576.13	1.560	0.010	1.342	1.33e-110
AAED1	ENSG00000158122.11	4.945	0.630	1.867	1.66e-74
AAGAB	ENSG00000103591.12	27.320	4.010	2.499	3.92e-86
AAK1	ENSG00000115977.18	7.540	2.620	1.238	4.32e-29
AAMDC	ENSG00000087884.14	57.651	2.210	4.192	2.58e-148
AAMP	ENSG00000127837.9	113.507	11.540	3.191	6.89e-92
AAR2	ENSG00000131043.11	26.180	3.270	2.670	1.16e-81
AARS	ENSG00000090861.15	54.905	3.550	3.619	2.66e-97
AARS2	ENSG00000124608.4	5.610	0.660	1.994	5.48e-80
AARSD1	ENSG00000266967.6	56.986	4.530	3.390	7.05e-108
AASDH	ENSG00000157426.13	4.910	0.650	1.841	1.87e-82
AASDHPPT	ENSG00000149313.10	14.720	1.980	2.399	4.27e-68
AASS	ENSG00000008311.14	1.255	0.080	1.062	4.08e-55
AATBC	ENSG00000215458.8	9.884	0.960	2.473	5.47e-44
AATF	ENSG00000275700.4	57.946	12.390	2.138	4.75e-69
AATK	ENSG00000181409.11	0.395	14.520	-3.476	8.21e-70
AB019440.50	ENSG00000271201.1	1.475	0.000	1.307	1.92e-63
AB019441.29	ENSG00000225200.2	1.680	0.180	1.183	4.99e-86
ABCA1	ENSG00000165029.15	4.724	1.430	1.236	2.22e-19
ABCA11P	ENSG00000251595.7	3.090	0.150	1.830	1.67e-105
ABCA17P	ENSG00000238098.8	2.520	0.010	1.801	2.43e-116
ABCA3	ENSG00000167972.13	17.211	0.510	3.592	1.73e-132
ABCA5	ENSG00000154265.15	6.290	1.130	1.775	3.14e-62
ABCB10	ENSG00000135776.4	5.220	0.950	1.673	3.53e-46
ABCB6	ENSG00000115657.12	26.910	3.020	2.796	1.66e-89
ABCB7	ENSG00000131269.15	14.800	2.030	2.383	9.39e-87
ABCB8	ENSG00000197150.12	20.210	4.070	2.065	4.45e-68
ABCB9	ENSG00000150967.17	2.495	0.250	1.483	1.01e-75
ABCC1	ENSG00000103222.18	13.524	2.190	2.187	1.41e-61
ABCC10	ENSG00000124574.14	17.755	3.870	1.945	4.18e-58
ABCC5	ENSG00000114770.16	12.565	3.750	1.514	3.86e-38
ABCD1	ENSG00000101986.11	9.960	4.430	1.013	2.84e-16
ABCD3	ENSG00000117528.11	24.090	1.130	3.558	2.09e-110
ABCD4	ENSG00000119688.20	52.430	6.240	2.884	1.89e-83
