Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
A1BG	ENSG00000121410.11	9.740	25.790	-1.319	4.48e-5
A1BG-AS1	ENSG00000268895.5	2.010	6.820	-1.377	1.24e-13
A2M	ENSG00000175899.14	79.878	372.268	-2.206	2.89e-26
A2M-AS1	ENSG00000245105.2	0.520	5.290	-2.049	5.55e-55
AADAT	ENSG00000109576.13	3.810	13.060	-1.548	9.94e-10
AAK1	ENSG00000115977.18	3.975	10.150	-1.164	2.76e-12
AASS	ENSG00000008311.14	1.075	34.260	-4.087	5.26e-57
ABAT	ENSG00000183044.11	1.635	4.560	-1.077	1.36e-9
ABC12-49244600F4.4	ENSG00000276144.1	0.170	1.880	-1.300	2.43e-21
ABC7-42404400C24.1	ENSG00000277758.4	0.020	1.170	-1.089	2.14e-32
ABCA10	ENSG00000154263.17	0.410	11.420	-3.139	2.92e-44
ABCA3	ENSG00000167972.13	2.310	5.780	-1.034	5.16e-8
ABCA6	ENSG00000154262.12	0.270	14.650	-3.623	2.16e-55
ABCA7	ENSG00000064687.12	10.315	4.200	1.122	5.44e-12
ABCA8	ENSG00000141338.13	0.325	20.559	-4.024	1.62e-62
ABCA9	ENSG00000154258.16	0.150	12.600	-3.564	2.86e-54
ABCB1	ENSG00000085563.14	1.465	18.280	-2.967	1.16e-42
ABCC3	ENSG00000108846.15	9.689	2.800	1.492	9.96e-11
ABCC5	ENSG00000114770.16	10.790	27.720	-1.284	1.07e-9
ABCC6	ENSG00000091262.14	2.015	0.410	1.096	5.16e-4
ABCC8	ENSG00000006071.11	0.135	2.810	-1.747	4.26e-15
ABCC9	ENSG00000069431.10	0.270	16.100	-3.751	1.85e-90
ABCD1	ENSG00000101986.11	7.040	16.829	-1.149	1.44e-8
ABCG1	ENSG00000160179.18	14.100	4.720	1.400	7.09e-13
ABCG2	ENSG00000118777.10	0.630	14.930	-3.289	8.89e-50
ABHD11	ENSG00000106077.18	75.240	14.050	2.341	3.52e-46
ABHD11-AS1	ENSG00000225969.1	3.605	0.220	1.916	4.22e-13
ABHD17C	ENSG00000136379.11	12.875	2.840	1.853	1.25e-28
ABHD2	ENSG00000140526.16	7.110	15.620	-1.035	5.68e-8
ABHD6	ENSG00000163686.13	2.675	8.090	-1.307	2.49e-15
ABI3BP	ENSG00000154175.16	1.655	42.520	-4.035	1.39e-54
ABL1	ENSG00000097007.17	18.504	67.831	-1.819	3.99e-23
ABLIM1	ENSG00000099204.18	17.659	40.159	-1.141	6.08e-10
ABLIM3	ENSG00000173210.19	0.535	16.670	-3.525	5.78e-52
ABO	ENSG00000175164.13	0.275	2.440	-1.432	1.19e-15
ABR	ENSG00000159842.14	18.568	63.548	-1.722	6.11e-17
