Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
A2M	ENSG00000175899.14	102.970	368.813	-1.831	4.20e-5
A2M-AS1	ENSG00000245105.2	1.110	5.940	-1.718	3.95e-10
A4GALT	ENSG00000128274.15	11.420	35.972	-1.574	3.11e-7
AADAT	ENSG00000109576.13	4.590	13.875	-1.412	4.43e-9
AAED1	ENSG00000158122.11	3.270	8.540	-1.160	1.31e-8
AASS	ENSG00000008311.14	1.750	38.673	-3.851	1.64e-26
ABC12-49244600F4.4	ENSG00000276144.1	0.230	1.860	-1.217	1.39e-4
ABC7-42404400C24.1	ENSG00000277758.4	0.070	1.185	-1.030	1.88e-5
ABCA10	ENSG00000154263.17	0.240	12.625	-3.458	1.16e-15
ABCA5	ENSG00000154265.15	4.600	14.610	-1.479	2.58e-7
ABCA6	ENSG00000154262.12	0.290	15.947	-3.716	3.27e-14
ABCA8	ENSG00000141338.13	0.840	21.398	-3.606	8.18e-17
ABCA9	ENSG00000154258.16	0.210	14.517	-3.681	5.18e-14
ABCB1	ENSG00000085563.14	0.850	17.761	-3.342	1.15e-16
ABCB10	ENSG00000135776.4	3.560	8.240	-1.019	1.12e-7
ABCC6	ENSG00000091262.14	2.950	0.350	1.549	1.20e-3
ABCC6P2	ENSG00000255277.3	1.480	0.130	1.134	8.16e-5
ABCC8	ENSG00000006071.11	1.010	3.079	-1.021	1.91e-3
ABCC9	ENSG00000069431.10	0.800	16.710	-3.298	6.29e-22
ABCD4	ENSG00000119688.20	33.469	76.558	-1.170	3.70e-11
ABCG2	ENSG00000118777.10	0.680	14.408	-3.197	1.42e-22
ABHD11	ENSG00000106077.18	30.041	14.130	1.037	7.67e-3
ABHD14B	ENSG00000114779.19	23.390	54.689	-1.191	4.66e-9
ABHD17C	ENSG00000136379.11	7.640	2.675	1.233	1.87e-10
ABHD2	ENSG00000140526.16	6.190	16.564	-1.289	2.32e-6
ABHD6	ENSG00000163686.13	2.410	8.250	-1.440	1.18e-11
ABI3	ENSG00000108798.8	4.010	9.565	-1.076	1.30e-3
ABI3BP	ENSG00000154175.16	2.770	43.332	-3.556	1.17e-13
ABL1	ENSG00000097007.17	24.770	71.377	-1.490	7.00e-10
ABLIM1	ENSG00000099204.18	16.999	41.649	-1.245	7.57e-5
ABLIM3	ENSG00000173210.19	1.140	18.699	-3.202	1.07e-10
ABO	ENSG00000175164.13	0.280	2.465	-1.437	9.76e-11
ABR	ENSG00000159842.14	19.061	65.484	-1.729	9.49e-10
ABRACL	ENSG00000146386.7	48.691	13.704	1.757	2.01e-17
ABTB1	ENSG00000114626.17	13.380	84.062	-2.564	2.72e-13
AC000078.5	ENSG00000232926.1	0.080	1.465	-1.191	1.02e-10
AC000089.3	ENSG00000235776.2	3.340	0.565	1.472	1.07e-15
AC000123.3	ENSG00000279265.1	1.620	4.975	-1.189	1.87e-7
AC000123.4	ENSG00000224138.1	0.740	2.785	-1.121	6.62e-9
AC002310.11	ENSG00000261459.1	0.300	2.045	-1.228	3.62e-12
AC002398.12	ENSG00000267328.1	2.300	13.835	-2.168	1.31e-8
AC002454.1	ENSG00000237819.5	1.800	0.000	1.485	5.50e-8
AC003090.1	ENSG00000223561.6	0.340	6.955	-2.570	1.47e-11
AC003973.3	ENSG00000279377.1	0.030	5.090	-2.564	7.13e-20
AC004623.3	ENSG00000279488.1	0.190	3.370	-1.877	7.32e-19
AC004967.7	ENSG00000243554.1	2.300	0.485	1.152	2.21e-8
AC005062.2	ENSG00000243004.5	3.410	15.724	-1.923	6.09e-10
AC005082.12	ENSG00000226816.2	3.170	0.720	1.278	1.85e-3
AC005104.3	ENSG00000223374.1	0.410	5.445	-2.192	6.84e-17
AC005154.6	ENSG00000196295.11	11.710	52.674	-2.078	5.29e-18
AC005154.7	ENSG00000244480.1	0.240	3.135	-1.738	1.74e-25
AC005253.2	ENSG00000268030.1	0.720	5.060	-1.817	6.29e-19
AC005255.3	ENSG00000256210.3	3.700	0.000	2.233	2.79e-13
AC005517.3	ENSG00000223878.1	0.200	3.330	-1.851	4.68e-19
AC005519.4	ENSG00000258559.2	0.720	7.924	-2.375	2.42e-20
AC005537.2	ENSG00000232006.8	1.050	0.000	1.036	1.56e-5
AC005538.3	ENSG00000279809.1	1.590	0.150	1.171	4.23e-4
AC005682.5	ENSG00000228649.8	1.000	5.425	-1.684	1.80e-14
AC005740.6	ENSG00000271871.1	0.150	1.610	-1.182	1.28e-16
AC005785.5	ENSG00000279203.1	0.200	1.420	-1.012	5.17e-14
AC005943.6	ENSG00000279009.1	5.710	0.000	2.746	4.57e-4
AC006007.1	ENSG00000230746.1	0.000	1.040	-1.028	6.78e-5
AC006011.4	ENSG00000244563.1	23.801	5.655	1.898	1.33e-12
AC006116.24	ENSG00000267776.1	0.170	1.650	-1.179	5.98e-16
AC006116.27	ENSG00000267459.1	0.000	2.955	-1.984	4.82e-12
AC006126.4	ENSG00000267045.1	0.830	4.564	-1.604	2.20e-5
AC006128.2	ENSG00000279716.1	4.020	18.250	-1.939	2.32e-14
